Saved path: hardware_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, gym : 41141
Saved path: gelateria, florist, bank, pizzeria, gym, toy_store, noodle_house, clothing_store, cafe, burger_joint, hardware_store, jewelry_store, salon, bakery, pet_store : 43535
Saved path: florist, bank, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, gelateria : 43353
Saved path: grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop : 47386
Saved path: pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore : 47809
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, burger_joint, cafe, dentist, pizzeria, bank : 46999
Saved path: craft_shop, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, clothing_store, tech_shop, cafe, hardware_store, gym, pizzeria : 38127
Saved path: salon, bike_shop, bakery, barber_shop, pharmacy, music_store, florist, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 40342
Saved path: pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, salon, party_store : 48125
Saved path: burger_joint, hardware_store, pet_store, bakery, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house : 46332
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, dentist, pizzeria, bank, florist, music_store, bike_shop, pet_store, bakery : 49930
Saved path: toy_store, grocery_store, cafe, bookstore, craft_shop, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, burger_joint, noodle_house : 46101
Saved path: gelateria, florist, bank, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery : 49810
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, salon, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, dentist : 43522
Saved path: barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, bank, gym, burger_joint, bookstore, dentist, grocery_store, noodle_house, toy_store : 41240
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store : 36262
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, music_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store : 35491
Saved path: florist, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store : 42680
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, cafe, burger_joint, toy_store, gym, hardware_store, jewelry_store, salon, pet_store, bakery, party_store : 48193
Saved path: barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, gym, bank, florist, gelateria, bakery, pet_store, salon, jewelry_store : 44724
