Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, florist, pharmacy, salon, bike_shop, pet_store, bakery : 46167
Saved path: florist, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy : 46471
Saved path: salon, bike_shop, bakery, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gym, hardware_store, jewelry_store : 28464
Saved path: dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, salon, jewelry_store, gelateria, pizzeria, bookstore, cafe : 40965
Saved path: pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store, bookstore, cafe, dentist, craft_shop, pizzeria, gelateria, music_store : 47477
Saved path: music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, pizzeria, bank, florist : 40241
Saved path: burger_joint, hardware_store, gym, florist, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house : 36278
Saved path: music_store, bank, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, salon, pharmacy, gelateria : 47012
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, pet_store, gym, burger_joint, noodle_house, toy_store : 47656
Saved path: pet_store, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, gym, hardware_store, toy_store, grocery_store, clothing_store, barber_shop, jewelry_store : 46816
Saved path: party_store, bakery, bike_shop, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, gelateria : 38278
Saved path: cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store, jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore : 45973
Saved path: gym, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, grocery_store, noodle_house, toy_store : 34020
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, bank, florist, gelateria, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 36502
Saved path: bakery, pet_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, salon : 38161
Saved path: bakery, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, barber_shop : 42469
Saved path: pizzeria, bookstore, burger_joint, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, florist, craft_shop : 49146
Saved path: bakery, barber_shop, party_store, pharmacy, gelateria, bank, dentist, cafe, bookstore, burger_joint, noodle_house, gym, hardware_store, bike_shop, pet_store : 50803
Saved path: salon, hardware_store, gym, toy_store, tech_shop, dentist, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop : 49554
Saved path: gym, hardware_store, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, bank, craft_shop, pizzeria : 37364
Saved path: florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, dentist : 48704
Saved path: tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint : 51252
Saved path: grocery_store, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store : 39185
Saved path: gelateria, pharmacy, party_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 42251
Saved path: craft_shop, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store : 50292
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, party_store, gelateria, music_store, florist, bank, dentist, cafe, bookstore, tech_shop : 47906
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, burger_joint, cafe, bookstore, pizzeria, florist : 35821
Saved path: salon, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 42032
Saved path: burger_joint, cafe, dentist, gym, bank, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house : 48876
Saved path: florist, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy : 33708
Saved path: hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, bank, gym, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint : 40858
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, gym, burger_joint, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, salon, bakery : 35064
Saved path: grocery_store, florist, music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 44170
Saved path: dentist, cafe, bookstore, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop : 39992
Saved path: party_store, bike_shop, pet_store, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, music_store, pharmacy : 51785
Saved path: bakery, pet_store, bike_shop, gelateria, music_store, bank, craft_shop, dentist, cafe, bookstore, grocery_store, toy_store, gym, hardware_store, jewelry_store : 52158
Saved path: craft_shop, pizzeria, music_store, pharmacy, party_store, jewelry_store, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist : 48869
Saved path: bakery, pharmacy, music_store, gelateria, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, pet_store : 48969
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, bike_shop, bakery : 38180
