Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pet_store, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop : 65263
Saved path: bookstore, burger_joint, gym, barber_shop, bakery, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop : 65795
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, bakery, gelateria, pet_store : 56315
Saved path: jewelry_store, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bakery : 57919
Saved path: hardware_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon : 54923
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, bookstore : 53559
Saved path: florist, craft_shop, pizzeria, cafe, bookstore, noodle_house, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank : 59594
Saved path: noodle_house, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, pet_store, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store : 62498
Saved path: dentist, pizzeria, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe : 68004
Saved path: bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, florist, gelateria, bank, pharmacy, party_store : 56839
Saved path: music_store, bank, gelateria, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, toy_store, salon, hardware_store, gym, party_store, bike_shop : 66644
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, gym, florist, gelateria, music_store, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store : 60432
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, dentist, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, barber_shop : 63730
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, florist : 63349
