Saved path: pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, gym, cafe, tech_shop, dentist, pizzeria : 63467
Saved path: grocery_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, music_store, gelateria, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store : 62839
Saved path: florist, gelateria, jewelry_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 61155
Saved path: hardware_store, burger_joint, cafe, grocery_store, clothing_store, dentist, pizzeria, craft_shop, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store : 54430
Saved path: music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, hardware_store, gym, florist, bank : 70437
Saved path: florist, craft_shop, pizzeria, dentist, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, barber_shop, bank, gelateria : 61136
Saved path: bookstore, burger_joint, hardware_store, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, dentist : 63149
Saved path: pharmacy, bank, gelateria, craft_shop, dentist, tech_shop, grocery_store, clothing_store, cafe, burger_joint, gym, hardware_store, party_store, bike_shop, bakery : 55914
Saved path: florist, gelateria, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop : 53122
Saved path: pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, gym, hardware_store, bookstore, cafe : 62401
Saved path: party_store, pharmacy, gelateria, bank, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store : 68355
Saved path: pharmacy, gelateria, music_store, florist, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store : 54160
Saved path: barber_shop, bike_shop, party_store, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, noodle_house, salon : 59481
