Saved path: bakery, party_store, gelateria, florist, gym, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store : 46160
Saved path: dentist, cafe, bookstore, pizzeria, bank, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store : 50426
Saved path: toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, hardware_store : 35775
Saved path: pizzeria, bank, gelateria, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist : 48367
Saved path: craft_shop, pizzeria, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, cafe, dentist : 49113
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist : 37476
Saved path: music_store, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, bookstore, pizzeria, gym, craft_shop : 36292
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, music_store, bank, pizzeria, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery : 47612
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore : 34516
Saved path: gym, jewelry_store, salon, bike_shop, pet_store, party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, burger_joint, tech_shop, toy_store : 50033
Saved path: grocery_store, cafe, dentist, pizzeria, music_store, gelateria, party_store, bike_shop, pet_store, bakery, gym, burger_joint, tech_shop, toy_store, clothing_store : 49138
Saved path: toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, jewelry_store, bakery, pet_store, gym : 49406
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, salon, party_store, gelateria, music_store, florist, gym, craft_shop, dentist, cafe : 40586
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, bank, florist, pharmacy, salon, bakery, pet_store : 49114
Saved path: bakery, pharmacy, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store : 47510
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gelateria, pharmacy, hardware_store, bookstore, cafe, grocery_store : 44367
Saved path: cafe, noodle_house, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, dentist : 50800
Saved path: pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, pet_store, bike_shop, salon, pharmacy, gelateria, music_store : 45190
Saved path: music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pizzeria : 46268
Saved path: salon, pharmacy, music_store, florist, pizzeria, gym, burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store, pet_store, bakery : 52070
Saved path: florist, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, grocery_store, dentist, cafe, bookstore : 51800
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, gym, pizzeria, bookstore, dentist, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 41866
Saved path: gym, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, burger_joint : 40837
