Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, craft_shop, gym, hardware_store, burger_joint, cafe, clothing_store, noodle_house : 45910
Saved path: grocery_store, cafe, gym, pizzeria, craft_shop, bank, florist, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop : 44945
Saved path: party_store, pharmacy, bank, craft_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 41876
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, tech_shop : 39802
Saved path: bank, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, clothing_store, grocery_store, dentist, pizzeria : 41997
Saved path: pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, pharmacy, music_store : 45885
Saved path: salon, party_store, pharmacy, florist, craft_shop, pizzeria, gym, burger_joint, dentist, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery : 49380
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria : 35339
Saved path: music_store, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store : 46261
Saved path: party_store, pharmacy, gelateria, music_store, florist, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, pet_store, bakery, salon : 45565
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon, jewelry_store : 32956
Saved path: noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, craft_shop, gym, pizzeria, bookstore, dentist, grocery_store, tech_shop : 41953
Saved path: bakery, party_store, gelateria, florist, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 42280
Saved path: gelateria, party_store, salon, bakery, barber_shop, toy_store, noodle_house, burger_joint, cafe, grocery_store, clothing_store, dentist, craft_shop, pizzeria, bank : 36683
Saved path: pharmacy, gelateria, florist, bank, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon, bike_shop, bakery : 30493
Saved path: pharmacy, music_store, florist, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store : 44453
Saved path: toy_store, hardware_store, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, music_store, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store : 37745
Saved path: party_store, pharmacy, gelateria, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, gym, jewelry_store, bakery, bike_shop, salon : 39038
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, party_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop : 33799
Saved path: bank, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, salon, pharmacy, music_store, florist : 31483
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, grocery_store : 46819
Saved path: gelateria, music_store, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, party_store : 40316
Saved path: hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, craft_shop, pizzeria, cafe, grocery_store, tech_shop, noodle_house, toy_store : 34886
Saved path: gym, hardware_store, pet_store, jewelry_store, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store : 51025
Saved path: burger_joint, gym, bike_shop, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house : 35461
Saved path: tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, pizzeria, cafe, grocery_store, clothing_store, toy_store : 44605
Saved path: florist, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, bakery, pet_store, party_store, pharmacy, gelateria, music_store : 41794
Saved path: dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, hardware_store, gym, florist, pizzeria, bookstore, cafe : 38462
Saved path: music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, bookstore, pizzeria, craft_shop, bank, florist : 47506
Saved path: dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist : 38118
Saved path: dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria, music_store, bank : 47515
Saved path: tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, pharmacy, hardware_store, gym, craft_shop, dentist, cafe, bookstore, clothing_store : 46848
Saved path: gelateria, music_store, party_store, salon, bike_shop, pet_store, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore : 44225
