Saved path: tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store, gelateria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store : 35669
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, music_store, bank, gym, burger_joint, bookstore, cafe : 35523
Saved path: jewelry_store, salon, bike_shop, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy : 40516
Saved path: gym, bank, gelateria, music_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, hardware_store : 39675
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, bank, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, hardware_store, toy_store : 45794
Saved path: grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, bank, dentist, cafe : 36314
Saved path: tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, bakery, party_store, gelateria, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house : 38953
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, gelateria, florist, craft_shop, gym, pizzeria, bookstore, cafe : 45807
Saved path: craft_shop, pizzeria, florist, music_store, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist : 39489
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, florist, bank, bookstore, burger_joint, grocery_store, clothing_store, toy_store, hardware_store : 35020
Saved path: burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, gym : 35215
Saved path: bookstore, cafe, grocery_store, dentist, music_store, party_store, jewelry_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint : 52700
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, bank, pizzeria, cafe, grocery_store, clothing_store : 43672
Saved path: cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, florist, bank, pizzeria, dentist : 42624
Saved path: toy_store, clothing_store, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, burger_joint : 42509
Saved path: party_store, pharmacy, craft_shop, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 42403
Saved path: florist, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, dentist, bookstore, pizzeria, bank : 46729
Saved path: noodle_house, toy_store, gym, pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, burger_joint, cafe, grocery_store : 35365
Saved path: dentist, craft_shop, bank, florist, pharmacy, salon, bakery, barber_shop, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe : 39093
Saved path: grocery_store, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bank, craft_shop, dentist, cafe : 47242
Saved path: bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, gelateria, music_store, bank, pizzeria, craft_shop, dentist : 49746
Saved path: bakery, barber_shop, pharmacy, florist, bank, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop : 40574
Saved path: cafe, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, music_store, florist, craft_shop, dentist, grocery_store : 52142
Saved path: pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy : 44297
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, bakery, barber_shop : 35577
Saved path: toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, gym : 37897
Saved path: bakery, pet_store, bike_shop, hardware_store, toy_store, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, barber_shop : 45621
Saved path: bakery, party_store, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, pet_store : 49947
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, bank, gym, dentist, cafe : 49179
Saved path: gym, bakery, pet_store, salon, jewelry_store, pharmacy, gelateria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 46768
Saved path: gelateria, music_store, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, craft_shop, bank : 42159
Saved path: party_store, gelateria, music_store, bank, craft_shop, pizzeria, gym, burger_joint, cafe, tech_shop, toy_store, hardware_store, bike_shop, pet_store, bakery : 43673
Saved path: bank, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, party_store, music_store, florist : 44347
Saved path: pet_store, bakery, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, bike_shop : 39497
