Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint, gym, pizzeria, florist, music_store, party_store : 43887
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, music_store, florist, bank, pizzeria, bookstore, grocery_store : 39972
Saved path: dentist, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store : 47803
Saved path: gym, pet_store, salon, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 46300
Saved path: grocery_store, toy_store, gym, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, burger_joint, tech_shop : 34943
Saved path: party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, bank, florist, pharmacy : 46595
Saved path: grocery_store, cafe, gym, pizzeria, bank, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 35835
Saved path: salon, pharmacy, gelateria, florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery : 46444
Saved path: florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist : 39965
Saved path: pet_store, bakery, salon, pharmacy, gelateria, music_store, bank, pizzeria, gym, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop : 51725
Saved path: music_store, florist, bank, craft_shop, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, salon, party_store, pharmacy : 35027
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, florist, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint : 44504
Saved path: clothing_store, noodle_house, bookstore, burger_joint, hardware_store, bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 43318
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pharmacy, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house : 44854
