Saved path: bakery, party_store, gelateria, music_store, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, pet_store : 47873
Saved path: pharmacy, music_store, craft_shop, pizzeria, gym, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 47589
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, hardware_store, pharmacy, bakery, pet_store, bike_shop, salon : 48702
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, bookstore, cafe : 34077
Saved path: music_store, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, barber_shop : 52342
Saved path: cafe, dentist, grocery_store, clothing_store, toy_store, gym, bakery, bike_shop, salon, party_store, florist, bank, craft_shop, pizzeria, bookstore : 35973
Saved path: bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, bike_shop, bakery, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe : 37874
Saved path: party_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, pharmacy : 36015
Saved path: cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store : 41220
Saved path: salon, bike_shop, bakery, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, jewelry_store : 40123
Saved path: toy_store, tech_shop, bookstore, dentist, burger_joint, gym, bank, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 52302
Saved path: burger_joint, cafe, grocery_store, dentist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house : 48880
Saved path: bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, bakery, salon, jewelry_store, party_store, hardware_store, gym : 29823
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, gelateria, party_store, salon, bakery, pet_store, hardware_store, gym, burger_joint, cafe, dentist, grocery_store : 49819
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, craft_shop, florist, gelateria : 35634
Saved path: music_store, party_store, bakery, bike_shop, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist : 32935
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, party_store, bike_shop, pet_store, bakery, jewelry_store : 42271
Saved path: pet_store, bike_shop, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery : 42829
Saved path: bookstore, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, cafe : 53219
Saved path: craft_shop, pizzeria, bank, florist, music_store, pharmacy, salon, bakery, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, cafe, dentist : 39264
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, grocery_store, cafe, burger_joint, bookstore, pizzeria : 31927
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, gelateria, music_store, florist, bank, pizzeria, gym, noodle_house, tech_shop, grocery_store, toy_store : 47820
Saved path: music_store, bank, craft_shop, gym, hardware_store, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 48858
Saved path: gym, hardware_store, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint : 36051
Saved path: grocery_store, cafe, burger_joint, gym, bank, music_store, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store : 46507
Saved path: grocery_store, clothing_store, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, music_store, bank, pizzeria, gym, hardware_store, noodle_house, tech_shop : 47295
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, bookstore, toy_store, hardware_store, jewelry_store, bakery, pet_store, salon : 47595
Saved path: clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, bakery, bike_shop, jewelry_store, party_store, gelateria, music_store, bank, dentist : 43254
Saved path: cafe, bookstore, pizzeria, craft_shop, music_store, salon, bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist : 52175
Saved path: florist, bank, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, bakery, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria : 46250
Saved path: pizzeria, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, music_store, florist, bank : 46930
Saved path: burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, music_store, gelateria, party_store, bakery, pet_store, jewelry_store, hardware_store : 45047
Saved path: cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, bakery, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store : 34211
Saved path: bike_shop, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, pizzeria, craft_shop, music_store, pharmacy, barber_shop, bakery, pet_store : 48361
Saved path: bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, gym, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 46661
Saved path: noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store, gelateria, party_store, bakery, hardware_store, gym, burger_joint : 36574
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, bank, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, burger_joint : 32556
