Saved path: toy_store, salon, barber_shop, bakery, gelateria, bank, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store : 58645
Saved path: cafe, dentist, pizzeria, craft_shop, gym, florist, bank, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop : 59627
Saved path: bookstore, cafe, tech_shop, pizzeria, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym : 72516
Saved path: pet_store, dentist, cafe, burger_joint, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria, florist : 63263
Saved path: salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, florist, music_store, pharmacy, bakery, bike_shop, gym, toy_store : 50907
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, burger_joint, toy_store, salon, barber_shop, bike_shop, party_store, bakery : 66197
Saved path: music_store, bank, gelateria, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym : 59221
Saved path: salon, toy_store, burger_joint, bookstore, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, party_store, bakery, hardware_store : 57815
Saved path: barber_shop, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, pet_store, florist, bank, music_store, pharmacy, bike_shop, jewelry_store : 72097
Saved path: clothing_store, grocery_store, cafe, hardware_store, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 58943
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, cafe, gym, hardware_store, bike_shop, party_store, bakery : 52962
Saved path: bike_shop, party_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store : 56672
Saved path: dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 58372
Saved path: grocery_store, clothing_store, cafe, burger_joint, toy_store, salon, hardware_store, gym, pet_store, gelateria, bank, music_store, florist, pizzeria, tech_shop : 55121
Saved path: gym, hardware_store, jewelry_store, party_store, bakery, music_store, bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store : 64499
Saved path: bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, cafe, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store : 57055
Saved path: bookstore, burger_joint, pizzeria, craft_shop, florist, pet_store, gym, bike_shop, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store : 61168
Saved path: bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist : 60850
Saved path: craft_shop, gym, bookstore, dentist, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store : 62975
Saved path: florist, gelateria, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, bookstore, clothing_store, noodle_house, barber_shop, bakery, bike_shop, hardware_store, gym : 54289
Saved path: party_store, bakery, pharmacy, music_store, bank, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop : 62157
Saved path: florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, pharmacy, music_store, bank : 65881
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, pet_store : 56488
Saved path: tech_shop, dentist, pizzeria, pet_store, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, burger_joint, toy_store, salon, noodle_house, grocery_store : 62131
Saved path: bakery, barber_shop, toy_store, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, florist, bank, music_store, bike_shop, party_store : 60356
Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist : 59228
Saved path: dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, party_store, bike_shop, barber_shop, bank, music_store, craft_shop, pizzeria : 66240
Saved path: bike_shop, party_store, bakery, bank, gelateria, florist, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop : 64153
Saved path: bank, music_store, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 68583
Saved path: cafe, dentist, tech_shop, clothing_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, gym, bookstore : 67228
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, cafe, tech_shop : 48983
Saved path: pet_store, craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank : 70340
Saved path: dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, hardware_store, gym, bakery, party_store, jewelry_store, bike_shop, gelateria, pet_store, craft_shop : 60394
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, salon : 57259
Saved path: pharmacy, bakery, party_store, bike_shop, gym, toy_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, florist, gelateria, bank, music_store : 57757
Saved path: dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, pet_store, gym, hardware_store, burger_joint : 63754
Saved path: salon, barber_shop, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, toy_store : 59731
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint : 61157
Saved path: dentist, cafe, bookstore, tech_shop, clothing_store, salon, barber_shop, jewelry_store, bike_shop, gym, pet_store, gelateria, music_store, florist, craft_shop : 63694
Saved path: gelateria, music_store, bike_shop, party_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store : 56988
Saved path: burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bike_shop, party_store, bakery, barber_shop, noodle_house, grocery_store, dentist, bookstore : 58747
