Saved path: bakery, pharmacy, gelateria, bank, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 44892
Saved path: barber_shop, music_store, gelateria, bank, craft_shop, dentist, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery : 55877
Saved path: florist, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, bank : 41193
Saved path: salon, jewelry_store, gelateria, music_store, florist, bank, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, gym, bakery, pet_store : 48663
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, gelateria, pharmacy, salon : 33858
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, pizzeria, florist : 42952
Saved path: grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria, florist, bank, craft_shop, gym, bookstore, dentist : 49780
Saved path: pet_store, pharmacy, bank, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery : 44732
Saved path: bookstore, pizzeria, florist, gelateria, barber_shop, jewelry_store, bakery, bike_shop, salon, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe : 36418
Saved path: craft_shop, gym, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, florist, bank : 43320
Saved path: gym, hardware_store, jewelry_store, bike_shop, bakery, music_store, gelateria, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint : 42890
Saved path: burger_joint, dentist, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, craft_shop, pizzeria, bookstore : 47916
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, pizzeria, gym, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store : 52195
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, music_store, gelateria : 43962
Saved path: burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, gelateria, music_store, party_store, salon, bike_shop, bakery, jewelry_store : 39034
Saved path: cafe, dentist, craft_shop, florist, pharmacy, party_store, jewelry_store, barber_shop, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint : 46766
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, gym, bakery, pet_store, bike_shop, jewelry_store, party_store, music_store, bank, pizzeria : 50413
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, bank, pharmacy, bike_shop, pet_store, bakery : 50504
Saved path: tech_shop, burger_joint, gym, jewelry_store, bike_shop, party_store, music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house : 43390
