Saved path: bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, bike_shop, pet_store, bakery, party_store, music_store : 46594
Saved path: cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, pharmacy, gelateria, florist, bank, pizzeria, bookstore : 29264
Saved path: party_store, gelateria, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, barber_shop, jewelry_store, bakery, pet_store : 49012
Saved path: bank, music_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop : 52230
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, grocery_store, clothing_store, toy_store, hardware_store : 35020
Saved path: grocery_store, tech_shop, hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store : 47161
Saved path: cafe, bookstore, tech_shop, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, pizzeria, craft_shop, dentist : 46228
Saved path: noodle_house, burger_joint, bakery, pet_store, bike_shop, jewelry_store, gym, craft_shop, florist, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store : 45574
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, bank, craft_shop, dentist, grocery_store : 39327
Saved path: party_store, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, gelateria : 34103
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, pharmacy, party_store, bakery : 40129
Saved path: salon, bakery, party_store, pharmacy, gelateria, music_store, craft_shop, gym, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store : 36633
Saved path: dentist, craft_shop, bank, gym, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe, grocery_store : 42939
Saved path: bank, craft_shop, pizzeria, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria : 33942
Saved path: pet_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, craft_shop, bank, gelateria, party_store, jewelry_store, bakery : 43891
Saved path: grocery_store, cafe, craft_shop, bank, florist, music_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 45793
Saved path: pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, pharmacy, music_store : 32754
Saved path: bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, craft_shop, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store : 44513
Saved path: grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, music_store, gelateria, party_store, pet_store, bakery, barber_shop, toy_store, clothing_store : 47289
Saved path: noodle_house, toy_store, hardware_store, pet_store, bakery, salon, party_store, gelateria, music_store, florist, bank, bookstore, cafe, clothing_store, tech_shop : 40608
Saved path: cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint : 36399
Saved path: clothing_store, toy_store, barber_shop, party_store, salon, bike_shop, pet_store, bakery, gym, bank, dentist, cafe, bookstore, burger_joint, tech_shop : 47795
