Saved path: gelateria, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 54295
Saved path: bike_shop, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, party_store : 51064
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe, burger_joint, bookstore, florist, music_store, gelateria, pharmacy, bakery : 52832
Saved path: music_store, bank, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store : 64012
Saved path: grocery_store, dentist, burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 66064
Saved path: gelateria, craft_shop, gym, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank : 61318
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, clothing_store, toy_store, burger_joint, hardware_store, salon, barber_shop, bakery, party_store, pharmacy : 55340
Saved path: pet_store, gym, hardware_store, cafe, dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank : 58258
Saved path: pet_store, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, florist : 62862
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop : 53135
Saved path: bookstore, cafe, tech_shop, clothing_store, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist : 57686
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, salon, toy_store, hardware_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop : 43593
