Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, gelateria, party_store : 34185
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, noodle_house, hardware_store, gym : 38336
Saved path: cafe, grocery_store, dentist, craft_shop, florist, gym, pet_store, bakery, salon, party_store, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint : 47754
Saved path: clothing_store, toy_store, barber_shop, bakery, salon, pharmacy, florist, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store : 39907
Saved path: clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bakery, bike_shop, hardware_store, burger_joint, tech_shop, toy_store : 36770
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, bank, gym, pizzeria, bookstore, burger_joint, noodle_house : 48576
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 35290
Saved path: music_store, gelateria, bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist : 37019
Saved path: pharmacy, gelateria, florist, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 51014
Saved path: jewelry_store, bike_shop, bakery, pharmacy, florist, bank, craft_shop, gym, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop : 36621
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, gym, burger_joint, bookstore, dentist, craft_shop, florist : 43520
Saved path: bike_shop, salon, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist, party_store, pet_store : 49174
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, hardware_store, gym, craft_shop, bank, florist : 37623
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, toy_store, gym, hardware_store : 47751
Saved path: bike_shop, bakery, barber_shop, music_store, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, salon : 43507
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, music_store, gelateria, bakery, pet_store, jewelry_store, gym, toy_store, tech_shop : 49165
Saved path: cafe, burger_joint, gym, pizzeria, florist, music_store, gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, dentist : 50753
Saved path: jewelry_store, bakery, gelateria, music_store, florist, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 35876
Saved path: jewelry_store, salon, bakery, party_store, gelateria, music_store, florist, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint : 37755
Saved path: tech_shop, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 34133
Saved path: florist, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, gelateria : 36117
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, bank, music_store, gelateria, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, gym : 44591
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy : 48827
Saved path: gym, craft_shop, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, hardware_store : 45410
Saved path: cafe, dentist, pizzeria, bank, music_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store : 51818
Saved path: tech_shop, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house : 45718
Saved path: gelateria, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, pet_store, party_store, pharmacy : 44815
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, gelateria, salon, bakery, barber_shop, jewelry_store : 39848
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store, bakery, party_store, gelateria, music_store, florist : 44870
Saved path: toy_store, tech_shop, burger_joint, gym, bakery, pet_store, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 48578
Saved path: party_store, hardware_store, gym, craft_shop, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery : 36555
Saved path: jewelry_store, barber_shop, bakery, salon, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, hardware_store : 38526
Saved path: craft_shop, pizzeria, florist, gelateria, party_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist : 35589
Saved path: florist, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, pet_store, salon, pharmacy, gelateria, music_store : 48917
Saved path: bank, florist, music_store, gelateria, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria : 35591
Saved path: music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, bank, florist : 52987
Saved path: music_store, barber_shop, bakery, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist : 40740
Saved path: bike_shop, jewelry_store, barber_shop, gym, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, music_store, pharmacy, bakery, pet_store : 51686
