Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, gelateria, music_store, party_store, bakery, barber_shop : 38083
Saved path: bookstore, tech_shop, noodle_house, toy_store, hardware_store, pet_store, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store : 46110
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon : 43577
Saved path: bike_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, cafe, pizzeria, bank, gelateria, music_store, party_store, barber_shop, bakery, pet_store : 47387
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, pizzeria, craft_shop, music_store : 34107
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, party_store : 33221
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon : 45499
Saved path: pharmacy, party_store, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, gym, pet_store, bike_shop, salon : 47239
Saved path: toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, bakery, salon, jewelry_store, gym, burger_joint, tech_shop, noodle_house : 33104
Saved path: salon, bakery, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, jewelry_store : 35371
Saved path: party_store, pharmacy, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery : 38037
Saved path: pizzeria, gym, bank, music_store, pharmacy, salon, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, dentist, bookstore : 52666
Saved path: music_store, pharmacy, party_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, bank, florist : 31312
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, pizzeria, bank, music_store, party_store, bakery : 43632
Saved path: salon, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, gym, pizzeria, craft_shop, bank, florist, gelateria, bakery, pet_store : 41333
Saved path: barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, clothing_store, toy_store, gym, hardware_store : 53357
Saved path: clothing_store, dentist, pizzeria, bank, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, burger_joint, tech_shop, noodle_house, toy_store : 44759
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, craft_shop, dentist, bookstore, clothing_store : 53562
Saved path: gelateria, salon, pet_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 47316
Saved path: craft_shop, pizzeria, bookstore, burger_joint, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store, florist : 39348
Saved path: bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria : 35692
Saved path: party_store, florist, bank, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 47405
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore : 34545
Saved path: tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, craft_shop, hardware_store, salon, bike_shop, bakery, barber_shop, toy_store : 30830
Saved path: clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, music_store, florist, bookstore, cafe, grocery_store : 37379
Saved path: music_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank : 48710
Saved path: bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, salon, bakery, gym, toy_store, noodle_house, grocery_store, dentist : 37371
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon : 47344
Saved path: bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, clothing_store, noodle_house, bookstore, burger_joint, hardware_store : 43318
