Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, bookstore, craft_shop, bank, florist, music_store, pharmacy, pet_store : 46065
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, bookstore, craft_shop, gym, bakery : 37185
Saved path: bookstore, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bike_shop, pet_store, bakery, burger_joint : 44402
Saved path: craft_shop, bank, music_store, party_store, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym : 45546
Saved path: pet_store, bakery, party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym : 47605
Saved path: jewelry_store, salon, bakery, party_store, gelateria, music_store, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 35824
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, pharmacy, music_store, party_store : 39752
Saved path: toy_store, tech_shop, burger_joint, gym, hardware_store, bakery, salon, pharmacy, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store : 35793
Saved path: florist, gym, pizzeria, craft_shop, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gelateria, music_store : 51602
Saved path: burger_joint, gym, florist, gelateria, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 42896
Saved path: toy_store, noodle_house, tech_shop, grocery_store, bookstore, bank, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 44877
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, jewelry_store, bike_shop, pet_store : 45065
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, gelateria, party_store, salon, bike_shop, jewelry_store, hardware_store, gym : 34931
Saved path: bank, pizzeria, dentist, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store : 41323
Saved path: salon, bakery, barber_shop, toy_store, noodle_house, burger_joint, clothing_store, grocery_store, dentist, pizzeria, bank, florist, music_store, pharmacy, party_store : 38384
Saved path: clothing_store, grocery_store, bookstore, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, hardware_store, gym, burger_joint, noodle_house, toy_store : 32914
Saved path: bank, florist, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, hardware_store, toy_store, noodle_house, cafe, dentist, craft_shop, pizzeria : 41387
Saved path: pizzeria, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, party_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym : 47487
