Saved path: gym, dentist, cafe, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, bank : 50929
Saved path: toy_store, gym, bike_shop, pet_store, bakery, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop : 48943
Saved path: gym, florist, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, burger_joint, hardware_store : 38454
Saved path: cafe, bookstore, gym, bank, florist, music_store, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist : 42004
Saved path: dentist, clothing_store, noodle_house, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, bank, pizzeria, bookstore : 51779
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, gelateria, pharmacy, party_store, salon : 32914
Saved path: bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, party_store : 47037
Saved path: burger_joint, cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop : 37752
Saved path: dentist, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, jewelry_store, toy_store, tech_shop, burger_joint, bookstore, cafe : 47975
Saved path: gelateria, pharmacy, party_store, salon, bakery, hardware_store, toy_store, clothing_store, grocery_store, bookstore, burger_joint, gym, bank, florist, music_store : 32331
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, pet_store, bike_shop, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, clothing_store : 46419
Saved path: pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon : 46149
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, gelateria, music_store, florist, bank, gym, dentist : 51023
Saved path: bank, florist, music_store, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria : 46897
Saved path: noodle_house, tech_shop, dentist, cafe, burger_joint, gym, pizzeria, florist, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store : 49280
Saved path: pet_store, bike_shop, salon, pharmacy, music_store, gelateria, gym, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery : 47355
Saved path: hardware_store, toy_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, florist, music_store, party_store, salon, bakery, barber_shop : 39835
Saved path: craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, music_store, bank, pizzeria : 53330
