Saved path: gym, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, bank, pizzeria : 44196
Saved path: craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store, pharmacy, gelateria, music_store : 43715
Saved path: clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, bank, gelateria, music_store, bakery, pet_store, barber_shop, toy_store, tech_shop : 52948
Saved path: salon, music_store, bank, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 50334
Saved path: bakery, salon, hardware_store, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, barber_shop : 36547
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, hardware_store, toy_store, clothing_store, grocery_store, cafe, bookstore : 34389
Saved path: dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store : 49060
Saved path: salon, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store : 46864
Saved path: toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop : 32908
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, hardware_store, bank, dentist, grocery_store, cafe, burger_joint, tech_shop, noodle_house : 47566
Saved path: party_store, gelateria, bank, craft_shop, gym, pizzeria, bookstore, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 44347
Saved path: bakery, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, music_store, party_store, salon, bike_shop : 39679
Saved path: bakery, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, dentist, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store : 49696
Saved path: bakery, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, bank, florist, gelateria, pharmacy, salon, bike_shop : 33508
Saved path: toy_store, noodle_house, burger_joint, gym, jewelry_store, pet_store, bakery, pharmacy, music_store, gelateria, bank, craft_shop, bookstore, cafe, clothing_store : 45611
Saved path: bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, bookstore, grocery_store, dentist, craft_shop, bank, music_store, pharmacy, party_store : 42250
Saved path: party_store, music_store, florist, bank, gym, craft_shop, dentist, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 50767
Saved path: tech_shop, toy_store, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank, gym, burger_joint, bookstore, cafe, grocery_store : 42268
Saved path: barber_shop, bakery, bike_shop, salon, party_store, pharmacy, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 35061
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store : 42787
Saved path: craft_shop, pizzeria, florist, music_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist : 51627
Saved path: toy_store, noodle_house, burger_joint, dentist, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store : 40138
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, pet_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, music_store : 44344
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, grocery_store, bookstore, gym, craft_shop, bank, florist, music_store, pharmacy, party_store : 38941
Saved path: florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria : 50124
Saved path: bakery, party_store, florist, bank, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store : 46000
Saved path: party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore, craft_shop, bank, music_store : 44639
Saved path: pizzeria, bank, florist, gelateria, party_store, pet_store, bakery, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore : 45543
Saved path: bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, pet_store : 48825
Saved path: toy_store, clothing_store, tech_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store : 43836
Saved path: bike_shop, bakery, party_store, gelateria, music_store, florist, gym, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon : 37816
Saved path: dentist, bank, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 46389
Saved path: florist, bank, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, party_store, pharmacy, gelateria : 31019
Saved path: gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, clothing_store, dentist, cafe, bookstore, burger_joint, gym, hardware_store, pharmacy, music_store : 54015
