Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, pizzeria, bookstore, bakery, bike_shop, salon : 33232
Saved path: bank, music_store, salon, bike_shop, pet_store, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop : 47291
Saved path: gelateria, music_store, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store : 39406
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, florist, craft_shop, gym, bookstore, cafe, noodle_house, toy_store : 46794
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, salon, hardware_store, gym : 32456
Saved path: pizzeria, florist, music_store, pharmacy, party_store, bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore : 36825
Saved path: salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, gym, craft_shop, bank, florist, music_store, pharmacy : 36732
Saved path: cafe, grocery_store, clothing_store, toy_store, gym, pizzeria, craft_shop, bank, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint : 43819
Saved path: craft_shop, music_store, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria : 44619
Saved path: craft_shop, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria : 44237
Saved path: florist, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, pizzeria, craft_shop, bank : 35124
Saved path: gelateria, bank, pizzeria, craft_shop, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, pharmacy : 45992
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, gym, toy_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, bank : 40855
Saved path: noodle_house, burger_joint, clothing_store, grocery_store, dentist, craft_shop, florist, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store : 46974
Saved path: music_store, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, bank : 41247
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, pet_store, bakery, salon, party_store, music_store, bank, pizzeria, gym : 44520
Saved path: music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, cafe, dentist, pizzeria, florist : 41563
Saved path: dentist, bookstore, pizzeria, craft_shop, music_store, gelateria, barber_shop, bakery, pet_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 52543
Saved path: bakery, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, bank, music_store, pharmacy, party_store, barber_shop : 45574
Saved path: jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, music_store, pharmacy, salon, bike_shop, bakery, barber_shop : 43841
Saved path: noodle_house, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, pizzeria, bank, florist, pharmacy, bakery, jewelry_store, barber_shop, toy_store : 39146
Saved path: salon, party_store, gelateria, bank, craft_shop, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop : 41700
Saved path: tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store : 50824
Saved path: craft_shop, pizzeria, bank, florist, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist : 33068
Saved path: salon, hardware_store, toy_store, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, music_store, gelateria, party_store, barber_shop, bakery, pet_store : 49092
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop, florist, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 44293
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, music_store, gelateria, bank, bookstore : 48634
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, bank : 36269
Saved path: gym, toy_store, burger_joint, cafe, dentist, craft_shop, pizzeria, gelateria, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, hardware_store : 53509
Saved path: pet_store, bike_shop, pharmacy, bank, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, hardware_store, bakery : 47246
Saved path: barber_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, bookstore, grocery_store, tech_shop, toy_store, hardware_store, salon, bakery, pet_store : 46345
