Saved path: toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, music_store, gelateria, barber_shop, bakery, party_store, bike_shop, hardware_store : 59220
Saved path: bakery, bike_shop, party_store, hardware_store, burger_joint, bookstore, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bank, pharmacy : 63051
Saved path: grocery_store, clothing_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, pizzeria, tech_shop, cafe, burger_joint, bookstore : 59548
Saved path: gym, pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, burger_joint : 69811
Saved path: tech_shop, pizzeria, craft_shop, florist, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe : 55070
Saved path: bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, gym, hardware_store, toy_store, barber_shop, jewelry_store : 57955
Saved path: salon, toy_store, gym, pet_store, gelateria, music_store, pharmacy, bike_shop, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house : 53300
Saved path: gym, toy_store, salon, noodle_house, tech_shop, bookstore, dentist, craft_shop, florist, music_store, bank, bakery, bike_shop, party_store, hardware_store : 64331
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bank, florist, gym, burger_joint, bookstore, cafe, dentist : 65238
Saved path: burger_joint, dentist, pizzeria, gelateria, bank, pharmacy, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore : 68247
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, gelateria, bank, music_store, pharmacy : 62632
Saved path: dentist, pizzeria, bank, gelateria, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, cafe : 68646
Saved path: gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, bookstore : 65665
Saved path: jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, florist, gelateria, bakery, party_store : 58398
Saved path: craft_shop, music_store, bank, pharmacy, party_store, bike_shop, bakery, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, pizzeria : 62681
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, hardware_store : 61848
Saved path: florist, pet_store, craft_shop, gym, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, bank : 70392
Saved path: bike_shop, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, toy_store, salon, barber_shop : 68529
Saved path: gelateria, pet_store, craft_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 57984
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, bank, music_store, pharmacy : 62855
Saved path: dentist, craft_shop, gym, hardware_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint : 52004
