Saved path: party_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist : 49536
Saved path: gym, toy_store, noodle_house, grocery_store, cafe, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery : 44088
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, music_store, florist, pizzeria, dentist : 49440
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist : 40030
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery : 49507
Saved path: pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore, clothing_store, grocery_store, dentist, craft_shop, bank : 39180
Saved path: toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, music_store, party_store, salon, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house : 43852
Saved path: party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, gelateria, pharmacy : 39370
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 37742
Saved path: pizzeria, gym, hardware_store, burger_joint, bookstore, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, music_store, gelateria : 40791
Saved path: gym, pizzeria, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, cafe, grocery_store, clothing_store, toy_store : 42630
Saved path: tech_shop, burger_joint, hardware_store, barber_shop, bakery, party_store, pharmacy, music_store, gelateria, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house : 35872
Saved path: barber_shop, bakery, party_store, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 34490
Saved path: tech_shop, noodle_house, toy_store, hardware_store, bakery, bike_shop, party_store, gelateria, music_store, florist, craft_shop, gym, cafe, grocery_store, clothing_store : 35446
Saved path: gelateria, florist, craft_shop, dentist, grocery_store, clothing_store, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store : 36914
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store, cafe, burger_joint, pizzeria, florist, music_store, gelateria, pharmacy, party_store : 45791
Saved path: salon, bike_shop, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 35271
Saved path: music_store, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, gym, hardware_store, party_store : 53155
Saved path: barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, cafe, dentist, craft_shop, pizzeria, gym, hardware_store, pet_store, bakery, jewelry_store : 40413
Saved path: gelateria, party_store, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, florist, music_store : 46199
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, bakery : 38847
Saved path: grocery_store, bookstore, burger_joint, gym, pizzeria, bank, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store : 34764
Saved path: dentist, cafe, burger_joint, bookstore, pizzeria, gym, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store : 45281
Saved path: burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist : 41410
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery, pet_store, bike_shop, party_store, music_store, bank, craft_shop, dentist, cafe : 47292
Saved path: jewelry_store, pharmacy, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, gym, bakery, pet_store : 47137
Saved path: clothing_store, grocery_store, cafe, gym, craft_shop, bank, music_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 47239
Saved path: cafe, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, party_store, gelateria, bank, craft_shop, pizzeria, bookstore : 45809
Saved path: pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist, burger_joint, hardware_store, gym, florist, music_store, gelateria : 44106
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist : 39094
Saved path: gelateria, music_store, florist, bank, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, bakery, bike_shop, salon, pharmacy : 35018
Saved path: clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 38573
