Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, pharmacy, salon, bakery, pet_store, gym, burger_joint, tech_shop : 46993
Saved path: party_store, pharmacy, gelateria, bank, pizzeria, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bakery, pet_store : 41545
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, gym, hardware_store, party_store, pharmacy, gelateria, music_store, salon, bike_shop : 39226
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, pharmacy, music_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store : 35818
Saved path: burger_joint, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, gym, hardware_store : 48214
Saved path: craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bakery, pharmacy, florist : 37508
Saved path: florist, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, hardware_store, gym : 40647
Saved path: gelateria, party_store, salon, bike_shop, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria : 40947
Saved path: music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, gym, bank, florist : 46211
Saved path: clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, bank, craft_shop, burger_joint, cafe : 48267
Saved path: bakery, pet_store, party_store, pharmacy, gelateria, bank, gym, craft_shop, dentist, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, salon : 47656
Saved path: bank, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop : 44897
Saved path: gym, pizzeria, craft_shop, bank, florist, pharmacy, bakery, pet_store, bike_shop, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 41729
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, party_store, bike_shop, pet_store, bakery, gym, bank, pizzeria, bookstore, dentist : 46984
Saved path: bank, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, party_store, gelateria : 49894
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, gym, bookstore, cafe : 35796
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, pet_store, bakery, toy_store, clothing_store, grocery_store, dentist, cafe : 43886
Saved path: gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, florist, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store : 43791
Saved path: toy_store, tech_shop, grocery_store, cafe, pizzeria, craft_shop, bank, florist, music_store, bakery, pet_store, bike_shop, salon, hardware_store, gym : 43864
Saved path: toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, gym, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop : 42538
Saved path: burger_joint, dentist, bank, florist, pizzeria, gym, hardware_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store : 50619
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, grocery_store, cafe, burger_joint, bookstore : 41958
Saved path: salon, jewelry_store, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, toy_store, gym, hardware_store, pet_store, bakery : 47976
Saved path: party_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, florist, music_store, pharmacy : 45592
Saved path: grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, music_store, florist, bank, pizzeria, bookstore, cafe : 45773
Saved path: pizzeria, gym, craft_shop, dentist, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, music_store, bank : 42392
Saved path: tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 42071
Saved path: bank, gelateria, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria : 43617
