Saved path: florist, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym, bakery, gelateria, bank, music_store : 53059
Saved path: florist, gelateria, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop : 52402
Saved path: clothing_store, bookstore, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house : 65415
Saved path: bakery, pharmacy, gelateria, bank, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store : 57593
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, hardware_store, pharmacy, gelateria, florist : 50149
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, gelateria, dentist : 65086
Saved path: pet_store, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria : 67282
Saved path: toy_store, clothing_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store : 61133
Saved path: jewelry_store, bike_shop, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, gelateria : 62228
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, toy_store, grocery_store, cafe : 63968
Saved path: burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, gym, pet_store, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, hardware_store : 61591
Saved path: grocery_store, tech_shop, cafe, bookstore, hardware_store, salon, barber_shop, party_store, jewelry_store, gelateria, florist, pet_store, craft_shop, dentist, clothing_store : 61189
Saved path: dentist, pizzeria, florist, bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe : 62597
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, music_store, bakery, bike_shop, jewelry_store, hardware_store, salon : 57225
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, music_store, pizzeria, dentist, cafe, burger_joint, bookstore : 59870
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, hardware_store, burger_joint, bookstore, florist, craft_shop, pizzeria, dentist, cafe, tech_shop : 45444
