Saved path: cafe, burger_joint, hardware_store, gym, craft_shop, bank, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, bookstore : 35877
Saved path: party_store, pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, hardware_store, pet_store, bike_shop, salon : 46727
Saved path: party_store, pharmacy, music_store, bank, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop : 47438
Saved path: pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, music_store, pharmacy : 47749
Saved path: bank, craft_shop, pizzeria, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, gelateria : 37781
Saved path: bank, pizzeria, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, gelateria : 51172
Saved path: pet_store, bike_shop, salon, jewelry_store, pharmacy, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym : 51147
Saved path: bakery, jewelry_store, party_store, music_store, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, pet_store : 44857
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, gym : 42420
Saved path: music_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, gym, hardware_store, pharmacy, gelateria : 39180
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, gym, toy_store : 38357
Saved path: music_store, gelateria, party_store, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, florist : 41443
Saved path: bank, florist, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, craft_shop, pizzeria, gym : 49082
Saved path: bakery, salon, jewelry_store, party_store, music_store, florist, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store : 49119
Saved path: dentist, bookstore, bank, gelateria, music_store, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store : 40829
Saved path: florist, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, gelateria, music_store : 53769
Saved path: party_store, music_store, bank, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 51033
Saved path: cafe, bookstore, pizzeria, craft_shop, gym, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist : 40433
Saved path: pharmacy, party_store, salon, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, florist, music_store : 39625
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, music_store, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store : 35212
Saved path: tech_shop, burger_joint, bakery, pet_store, bike_shop, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house : 39868
Saved path: salon, party_store, pharmacy, music_store, bank, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop : 44144
Saved path: craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, burger_joint, grocery_store, toy_store, gym : 42146
Saved path: party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, gym, hardware_store : 35979
Saved path: hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, toy_store, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, gym : 44125
Saved path: pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria : 39725
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, pet_store, bakery, gelateria, florist, craft_shop, pizzeria, bookstore : 40904
Saved path: clothing_store, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store : 47443
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, craft_shop, dentist : 50270
Saved path: gelateria, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank : 32613
