Saved path: bakery, pet_store, bike_shop, party_store, gelateria, gym, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store : 50858
Saved path: barber_shop, bakery, bike_shop, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy : 39445
Saved path: hardware_store, jewelry_store, pet_store, bike_shop, salon, party_store, pharmacy, florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store : 47419
Saved path: pharmacy, gelateria, florist, bank, pizzeria, dentist, clothing_store, tech_shop, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, party_store : 47894
Saved path: dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store : 39371
Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, grocery_store, dentist, burger_joint, hardware_store, gym : 52652
Saved path: bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, music_store, florist, pizzeria, craft_shop, dentist, cafe : 39301
Saved path: pizzeria, craft_shop, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore : 36950
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, cafe, burger_joint : 37380
Saved path: jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, bank, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop : 51398
Saved path: gym, toy_store, clothing_store, tech_shop, cafe, bookstore, florist, music_store, gelateria, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store : 47145
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, party_store, salon, bike_shop, bakery, gym, toy_store : 38912
Saved path: craft_shop, bank, music_store, gelateria, party_store, bakery, pet_store, salon, jewelry_store, hardware_store, burger_joint, cafe, clothing_store, toy_store, gym : 44902
Saved path: bike_shop, salon, party_store, gelateria, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery : 37027
Saved path: pizzeria, bank, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore : 43905
Saved path: tech_shop, burger_joint, jewelry_store, salon, pet_store, party_store, pharmacy, gelateria, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house : 45425
Saved path: hardware_store, pet_store, bakery, jewelry_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop, burger_joint : 48789
Saved path: bakery, barber_shop, toy_store, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, music_store, party_store, salon, bike_shop, pet_store : 49336
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, dentist, bookstore, tech_shop, toy_store : 41759
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, gelateria, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store : 34314
Saved path: gym, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, bank, craft_shop, pizzeria : 38540
Saved path: toy_store, barber_shop, bakery, salon, pharmacy, gelateria, bank, craft_shop, pizzeria, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store : 39966
