Saved path: salon, hardware_store, gym, craft_shop, bank, florist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 42167
Saved path: dentist, bookstore, pizzeria, craft_shop, bank, gelateria, party_store, bike_shop, bakery, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 36601
Saved path: pizzeria, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, pet_store, bakery, party_store, pharmacy, bank : 46294
Saved path: cafe, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, party_store, gelateria, florist, pizzeria, craft_shop, dentist : 43856
Saved path: tech_shop, toy_store, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bank, dentist, cafe, bookstore, burger_joint : 43423
Saved path: craft_shop, pizzeria, gym, burger_joint, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, bakery, pharmacy, gelateria, music_store, florist : 35162
Saved path: salon, bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, bank, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store : 39432
Saved path: florist, bank, craft_shop, gym, hardware_store, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, music_store : 38593
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, barber_shop, gelateria, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store : 47186
Saved path: dentist, cafe, burger_joint, noodle_house, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, craft_shop : 37362
Saved path: hardware_store, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 38142
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, clothing_store, toy_store, barber_shop, bakery : 45570
Saved path: barber_shop, jewelry_store, salon, bakery, pharmacy, gelateria, music_store, florist, gym, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store : 35153
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, music_store, gelateria, party_store, salon, bakery : 38900
Saved path: jewelry_store, party_store, gelateria, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, bakery, pet_store : 46971
Saved path: music_store, gelateria, pharmacy, salon, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist : 34727
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store : 43442
