Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop, gelateria, party_store, jewelry_store, salon, bakery, pet_store : 42080
Saved path: bakery, pet_store, bike_shop, music_store, bank, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop : 51075
Saved path: bakery, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, gelateria, pharmacy, party_store, bike_shop, pet_store : 42293
Saved path: toy_store, clothing_store, dentist, bookstore, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, gym, burger_joint, tech_shop, noodle_house : 40081
Saved path: bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, bank, pharmacy, party_store, salon, bike_shop : 36465
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, florist, pharmacy, salon, bike_shop : 37614
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store : 33641
Saved path: toy_store, clothing_store, tech_shop, noodle_house, burger_joint, cafe, dentist, craft_shop, music_store, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop : 37352
Saved path: florist, bank, craft_shop, gym, pizzeria, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy : 45710
Saved path: dentist, craft_shop, florist, music_store, party_store, salon, bakery, pet_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, cafe : 47452
Saved path: pet_store, bike_shop, party_store, pharmacy, music_store, gelateria, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, barber_shop, bakery : 48774
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, gym, florist, bank, pizzeria, bookstore, dentist, burger_joint : 45899
Saved path: pet_store, bike_shop, salon, party_store, hardware_store, burger_joint, bank, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery : 47546
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 43096
Saved path: bike_shop, party_store, pharmacy, gelateria, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 41304
Saved path: toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, florist, bank, gym, burger_joint, dentist, grocery_store, tech_shop : 39749
Saved path: craft_shop, bank, gym, jewelry_store, bakery, pet_store, bike_shop, party_store, toy_store, noodle_house, tech_shop, bookstore, cafe, grocery_store, dentist : 46125
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, party_store, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, cafe, clothing_store : 36373
Saved path: music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, florist : 42771
Saved path: pharmacy, gelateria, music_store, bank, pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store : 47187
Saved path: party_store, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store, gym, jewelry_store, salon, bakery : 38378
Saved path: hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, burger_joint, tech_shop, toy_store : 45458
Saved path: salon, bike_shop, bakery, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, florist, gelateria, pharmacy, party_store : 35216
Saved path: dentist, pizzeria, bank, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 51948
