Saved path: pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 42598
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, bookstore, dentist, craft_shop, pizzeria, florist, pharmacy, party_store, salon, pet_store, bakery, barber_shop : 47401
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon, jewelry_store, pharmacy, music_store, florist, craft_shop, pizzeria : 43598
Saved path: music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, craft_shop, florist : 35949
Saved path: bakery, pet_store, bike_shop, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store : 47577
Saved path: noodle_house, tech_shop, cafe, bookstore, pizzeria, bank, florist, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 35888
Saved path: pizzeria, gym, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 43064
Saved path: dentist, craft_shop, bank, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store : 44405
Saved path: bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, dentist, cafe : 38391
Saved path: party_store, pharmacy, gelateria, florist, bank, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 33266
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore : 37826
Saved path: clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, jewelry_store, toy_store : 35655
Saved path: bike_shop, jewelry_store, party_store, music_store, florist, bank, pizzeria, bookstore, dentist, burger_joint, tech_shop, toy_store, gym, bakery, pet_store : 50644
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, pet_store, hardware_store : 40628
Saved path: pet_store, bakery, salon, jewelry_store, music_store, gelateria, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 51517
Saved path: party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery : 41304
Saved path: burger_joint, bookstore, dentist, bank, florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 37575
Saved path: dentist, bookstore, toy_store, gym, pet_store, bakery, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop : 48855
Saved path: florist, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, noodle_house, bookstore, burger_joint, hardware_store, gym, craft_shop, bank : 43400
Saved path: dentist, grocery_store, bookstore, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, craft_shop : 49406
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, hardware_store, gym, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store : 41017
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, music_store, bank, pizzeria, bookstore, dentist, cafe, burger_joint : 44821
Saved path: salon, jewelry_store, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, craft_shop, florist, music_store, pharmacy, bakery, pet_store : 45665
Saved path: music_store, gelateria, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, bank, florist : 47944
Saved path: cafe, dentist, clothing_store, noodle_house, toy_store, gym, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, pizzeria, bookstore : 39620
Saved path: hardware_store, gym, bank, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, dentist, cafe, burger_joint : 41464
Saved path: hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, bank, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, gym : 37575
