Saved path: bakery, pet_store, bike_shop, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop : 50229
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, clothing_store, toy_store, gym, jewelry_store, bike_shop, bakery, party_store : 37573
Saved path: clothing_store, dentist, bookstore, burger_joint, gym, bank, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 49201
Saved path: party_store, gelateria, music_store, craft_shop, dentist, grocery_store, bookstore, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 50257
Saved path: dentist, craft_shop, gym, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, cafe : 42593
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, music_store, gelateria, bank, gym, pizzeria, craft_shop, dentist : 53116
Saved path: bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop, florist, bookstore, burger_joint, hardware_store, salon, bike_shop, pet_store : 45957
Saved path: bike_shop, salon, pharmacy, music_store, bank, gym, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, barber_shop, bakery, pet_store : 51882
Saved path: bank, music_store, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop : 49527
Saved path: toy_store, clothing_store, cafe, burger_joint, gym, pizzeria, bank, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop : 35214
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, gelateria, florist, gym, hardware_store, burger_joint, bookstore, cafe : 40481
Saved path: cafe, bookstore, tech_shop, noodle_house, toy_store, gym, jewelry_store, bakery, bike_shop, party_store, florist, bank, pizzeria, craft_shop, dentist : 38284
Saved path: dentist, clothing_store, tech_shop, toy_store, gym, pet_store, bakery, jewelry_store, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, cafe : 47886
Saved path: gym, burger_joint, bookstore, cafe, clothing_store, toy_store, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, florist, craft_shop : 46950
Saved path: toy_store, tech_shop, grocery_store, cafe, bookstore, bank, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store : 43150
Saved path: clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store : 45491
Saved path: tech_shop, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store, bakery, barber_shop, toy_store : 42492
