Saved path: pet_store, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank, gelateria, pharmacy : 47536
Saved path: pharmacy, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, gym, craft_shop, bank, gelateria, music_store : 52453
Saved path: pizzeria, craft_shop, florist, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, bookstore : 40374
Saved path: toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, tech_shop : 48113
Saved path: grocery_store, dentist, craft_shop, florist, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, cafe : 38063
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, craft_shop, dentist, cafe, bookstore : 40368
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, grocery_store, dentist, craft_shop, bank : 40954
Saved path: grocery_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store : 42608
Saved path: noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, florist, music_store, salon, bike_shop, pet_store, bakery, jewelry_store, gym, burger_joint : 51782
Saved path: grocery_store, cafe, bookstore, tech_shop, toy_store, hardware_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, craft_shop, dentist : 41114
Saved path: bakery, barber_shop, party_store, music_store, bank, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, salon, bike_shop : 43057
Saved path: salon, bakery, jewelry_store, hardware_store, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store : 36136
Saved path: pharmacy, gelateria, music_store, craft_shop, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon : 45392
Saved path: hardware_store, toy_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, jewelry_store, bakery, pet_store : 48145
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, party_store, jewelry_store, bike_shop, gym, toy_store, grocery_store, dentist, cafe, burger_joint, bookstore : 43296
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, salon, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 44868
Saved path: tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, florist, dentist, bookstore : 43311
Saved path: music_store, gelateria, party_store, salon, bike_shop, jewelry_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, florist : 42414
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, bakery, gelateria, music_store, florist, bank, craft_shop, pizzeria : 35639
Saved path: burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, bank, craft_shop, bookstore, cafe, grocery_store, toy_store, tech_shop : 46268
Saved path: gym, florist, music_store, gelateria, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria : 52966
Saved path: bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, gelateria, pharmacy, party_store : 39052
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, florist, craft_shop, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store : 41942
Saved path: cafe, bookstore, pizzeria, florist, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint : 45947
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store, toy_store : 44523
Saved path: clothing_store, grocery_store, cafe, bank, music_store, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop : 45045
