Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, florist, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store : 52248
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, gym, pet_store, bank, gelateria : 64958
Saved path: bike_shop, party_store, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, gym : 52833
Saved path: toy_store, hardware_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, bike_shop, barber_shop, salon : 54144
Saved path: bike_shop, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store : 68522
Saved path: pet_store, craft_shop, gym, hardware_store, burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, bank, florist : 58474
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, cafe, dentist, craft_shop, florist, gelateria : 60313
Saved path: salon, barber_shop, bike_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, clothing_store, toy_store : 55936
Saved path: dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, gym, bookstore : 69996
Saved path: pet_store, bank, gelateria, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym : 65695
Saved path: grocery_store, cafe, bookstore, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, dentist : 70914
Saved path: grocery_store, burger_joint, dentist, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store : 68560
Saved path: bakery, barber_shop, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank, pharmacy : 53382
