Saved path: pizzeria, bank, florist, gym, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, bookstore : 37930
Saved path: noodle_house, grocery_store, dentist, cafe, bookstore, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store : 48432
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, hardware_store, gym, pizzeria, bank, craft_shop, dentist, grocery_store, tech_shop : 46628
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, bakery, party_store, pharmacy, gelateria, florist, craft_shop : 34840
Saved path: noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, gelateria, party_store, hardware_store, burger_joint : 45570
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, bank, music_store : 44653
Saved path: noodle_house, tech_shop, burger_joint, gym, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store : 35079
Saved path: salon, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, florist, gym, hardware_store, party_store : 34227
Saved path: bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, salon, bakery, pet_store, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint : 40082
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, gym, toy_store, grocery_store, noodle_house, hardware_store, jewelry_store, bakery, pet_store : 45035
Saved path: bakery, bike_shop, music_store, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 45716
Saved path: jewelry_store, salon, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, tech_shop, toy_store, gym : 38008
Saved path: cafe, burger_joint, bookstore, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store : 38415
Saved path: pizzeria, bank, gelateria, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore : 36249
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bike_shop, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, cafe : 40344
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, music_store, bank : 47606
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, bakery, pet_store, bike_shop, hardware_store : 45667
Saved path: bookstore, cafe, dentist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint : 48067
Saved path: bakery, gym, toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, bank, florist, gelateria, party_store, salon, bike_shop, pet_store : 45643
Saved path: noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, music_store, party_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop : 45948
Saved path: pet_store, bike_shop, salon, party_store, music_store, florist, bank, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, bakery : 45583
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, bank, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store : 50800
Saved path: bookstore, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, gym, burger_joint : 47082
Saved path: gym, pizzeria, craft_shop, music_store, pharmacy, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, hardware_store : 40398
Saved path: dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist, bank : 39313
Saved path: bike_shop, gelateria, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store : 51013
Saved path: bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, dentist, craft_shop, gym, pizzeria, bank, pharmacy, party_store : 49216
Saved path: tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, pizzeria, gym, hardware_store, burger_joint : 45258
Saved path: hardware_store, bakery, salon, pharmacy, florist, bank, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym : 34338
Saved path: craft_shop, gym, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, florist : 43665
Saved path: gelateria, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store : 45151
Saved path: salon, pharmacy, music_store, party_store, hardware_store, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 52384
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, hardware_store, gym, pizzeria, bookstore : 36547
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, gym, burger_joint, bookstore, pizzeria, craft_shop, florist, music_store : 45233
Saved path: gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, burger_joint, hardware_store, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store : 49193
Saved path: gym, hardware_store, pet_store, bakery, party_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank : 46439
Saved path: hardware_store, gym, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint : 37203
Saved path: craft_shop, bank, gelateria, pharmacy, party_store, bike_shop, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria : 35754
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, tech_shop, clothing_store, toy_store : 38086
Saved path: jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store : 34423
Saved path: bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, music_store, craft_shop, pizzeria : 38691
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, music_store, gelateria, pizzeria, bookstore : 46762
Saved path: cafe, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, dentist : 50316
