Saved path: gelateria, party_store, bike_shop, pet_store, bakery, toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist : 44576
Saved path: noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store, salon, pet_store, jewelry_store, hardware_store, toy_store : 48350
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gym, bank, music_store, bakery, pet_store, bike_shop, salon : 52382
Saved path: burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pharmacy, hardware_store, gym, pizzeria, bookstore : 39189
Saved path: clothing_store, toy_store, barber_shop, pharmacy, party_store, bike_shop, bakery, gym, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop : 41513
Saved path: hardware_store, jewelry_store, pet_store, bakery, salon, pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym, toy_store, tech_shop, burger_joint : 43184
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, party_store, gelateria, music_store, bank, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store : 48243
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, burger_joint, gym, bank, music_store, gelateria, party_store : 39479
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store : 36972
Saved path: barber_shop, bakery, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store : 39354
Saved path: pharmacy, party_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, music_store : 43472
Saved path: florist, bank, pizzeria, bookstore, burger_joint, dentist, grocery_store, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria : 38328
Saved path: craft_shop, dentist, cafe, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, bank, pizzeria, gym : 48658
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, music_store, gelateria, bank, pizzeria, bookstore, dentist, cafe, burger_joint : 45575
Saved path: pizzeria, florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, dentist, cafe, bookstore : 39383
Saved path: dentist, craft_shop, bank, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore : 43626
Saved path: clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house : 42302
Saved path: cafe, bookstore, grocery_store, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, bank, craft_shop, dentist : 45108
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, salon : 32057
Saved path: cafe, dentist, craft_shop, pizzeria, music_store, gelateria, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore : 45528
Saved path: cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store, pizzeria, bookstore : 44513
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, gelateria, florist, gym, pizzeria, bookstore, cafe, dentist : 39510
Saved path: florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store : 46181
Saved path: florist, craft_shop, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store : 46498
