Saved path: florist, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, bookstore, gym, pet_store : 61863
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, bank, gelateria, bakery, bike_shop, jewelry_store, salon, toy_store : 68226
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, hardware_store, salon, toy_store, clothing_store : 45669
Saved path: cafe, burger_joint, clothing_store, noodle_house, salon, barber_shop, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, pizzeria : 71866
Saved path: bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, barber_shop, bike_shop, bakery, hardware_store, burger_joint : 52538
Saved path: pizzeria, dentist, bookstore, burger_joint, party_store, jewelry_store, bakery, pharmacy, florist, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 52781
Saved path: dentist, cafe, bookstore, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gelateria, pet_store, craft_shop : 61859
Saved path: gelateria, music_store, pharmacy, bakery, party_store, bike_shop, gym, toy_store, salon, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, pet_store : 60033
Saved path: hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym : 51919
Saved path: tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store : 61169
Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, clothing_store, toy_store, hardware_store, salon, barber_shop : 59533
Saved path: tech_shop, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, cafe, clothing_store : 54106
Saved path: bank, pharmacy, bakery, bike_shop, party_store, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria : 60298
Saved path: gelateria, pharmacy, party_store, barber_shop, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, bank : 67090
