Saved path: bank, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, burger_joint, bookstore, dentist, craft_shop, pizzeria : 41961
Saved path: tech_shop, noodle_house, toy_store, clothing_store, cafe, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, burger_joint : 42806
Saved path: cafe, dentist, craft_shop, bank, florist, gelateria, pharmacy, party_store, salon, bakery, pet_store, toy_store, noodle_house, clothing_store, grocery_store : 40615
Saved path: barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bank, bookstore, dentist, grocery_store, toy_store, gym, hardware_store : 54721
Saved path: gym, pizzeria, craft_shop, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe : 48914
Saved path: clothing_store, cafe, dentist, florist, music_store, gelateria, party_store, jewelry_store, bakery, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store : 49249
Saved path: clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, pet_store, gym, burger_joint, tech_shop, toy_store : 47825
Saved path: party_store, pharmacy, florist, bank, craft_shop, pizzeria, gym, hardware_store, cafe, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store : 44966
Saved path: toy_store, tech_shop, burger_joint, gym, pet_store, bakery, salon, pharmacy, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store : 45714
Saved path: bike_shop, party_store, pharmacy, music_store, florist, bank, bookstore, dentist, grocery_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, pet_store : 48801
Saved path: toy_store, grocery_store, bookstore, dentist, craft_shop, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym : 54405
Saved path: bakery, pet_store, music_store, gelateria, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, clothing_store, noodle_house, toy_store, barber_shop : 54444
Saved path: florist, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy : 39886
Saved path: bike_shop, party_store, pharmacy, music_store, florist, pizzeria, dentist, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, bakery, pet_store : 48056
Saved path: dentist, cafe, bookstore, burger_joint, noodle_house, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, salon, music_store, bank, craft_shop : 48807
Saved path: cafe, dentist, craft_shop, florist, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop : 41274
Saved path: pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, craft_shop, bank, florist : 32735
Saved path: gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy : 41732
Saved path: tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, bank, pizzeria, craft_shop, dentist, bookstore : 48134
Saved path: cafe, pizzeria, craft_shop, bank, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 44912
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, music_store, bank, craft_shop, gym, burger_joint, cafe, bookstore, noodle_house, toy_store : 46950
Saved path: pharmacy, music_store, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, jewelry_store, salon, bakery, pet_store : 48021
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, bank, music_store, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store : 44718
Saved path: pet_store, bakery, salon, party_store, pharmacy, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, hardware_store, barber_shop : 50595
Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, cafe, dentist, craft_shop : 39709
Saved path: grocery_store, dentist, craft_shop, florist, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, bookstore : 40138
Saved path: salon, bike_shop, bakery, party_store, gelateria, florist, bank, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store : 35698
Saved path: dentist, bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, tech_shop, grocery_store : 40596
Saved path: pizzeria, bank, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist : 46326
Saved path: music_store, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, gym, pizzeria, bank : 46440
Saved path: barber_shop, gelateria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store : 49557
Saved path: toy_store, noodle_house, clothing_store, cafe, gym, bank, florist, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop : 45724
Saved path: music_store, gelateria, pharmacy, pet_store, bakery, jewelry_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, florist : 49448
Saved path: burger_joint, gym, craft_shop, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore : 41368
Saved path: pet_store, bike_shop, pharmacy, gelateria, bank, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery : 48814
Saved path: bakery, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, gelateria, pharmacy, salon : 35897
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, salon, bakery, party_store, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, dentist : 34598
Saved path: music_store, pharmacy, party_store, jewelry_store, pet_store, bakery, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, florist : 47299
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, party_store, bakery, bike_shop, jewelry_store, hardware_store, burger_joint : 37609
Saved path: bank, florist, music_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, gym, pizzeria : 38226
Saved path: gym, pizzeria, bank, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store : 34945
Saved path: salon, party_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, bank, gym, bakery, pet_store, bike_shop : 42143
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, burger_joint, bookstore, craft_shop, music_store, gelateria : 45078
Saved path: pet_store, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, gym, noodle_house, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery : 48373
Saved path: music_store, pharmacy, party_store, salon, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, florist : 39752
Saved path: pharmacy, jewelry_store, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, florist : 35958
