Saved path: jewelry_store, salon, bakery, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 32021
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bank, gym, pizzeria, craft_shop, dentist, cafe, clothing_store : 49998
Saved path: gelateria, pharmacy, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, bank, florist : 42896
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, pet_store : 48270
Saved path: toy_store, clothing_store, grocery_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, gym : 35733
Saved path: bookstore, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, grocery_store : 43832
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, florist, craft_shop, bookstore, cafe : 35821
Saved path: bookstore, burger_joint, cafe, clothing_store, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, music_store, bank, craft_shop, pizzeria : 35215
Saved path: noodle_house, toy_store, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, bank, craft_shop, gym, cafe, grocery_store, clothing_store, tech_shop : 32803
Saved path: bakery, jewelry_store, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop : 37751
Saved path: grocery_store, clothing_store, toy_store, gym, bakery, salon, party_store, music_store, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist : 36393
Saved path: noodle_house, burger_joint, gym, hardware_store, bakery, bike_shop, salon, music_store, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, toy_store : 35572
Saved path: burger_joint, tech_shop, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, cafe : 44207
Saved path: toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store : 37206
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, jewelry_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria : 40498
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, pizzeria, bank, florist, music_store, salon, bakery, pet_store : 45917
Saved path: bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, florist, gym, burger_joint : 39396
Saved path: clothing_store, toy_store, burger_joint, hardware_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, dentist, cafe : 43408
Saved path: music_store, gelateria, party_store, pet_store, bakery, jewelry_store, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, pizzeria, bank, florist : 45674
Saved path: dentist, cafe, burger_joint, tech_shop, toy_store, gym, bakery, salon, jewelry_store, party_store, music_store, florist, bank, pizzeria, bookstore : 38485
Saved path: music_store, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, cafe, bookstore, gym, craft_shop, bank : 45423
Saved path: dentist, craft_shop, pizzeria, gelateria, music_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store : 52870
Saved path: bakery, salon, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, bank, music_store, gelateria, pharmacy : 38111
Saved path: cafe, bookstore, pizzeria, florist, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, dentist : 39542
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, gym, hardware_store, party_store, bakery : 41578
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, gelateria, salon, pet_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist : 46300
Saved path: hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, bank, florist, party_store, bike_shop, bakery, barber_shop, jewelry_store : 40616
