Saved path: noodle_house, toy_store, barber_shop, jewelry_store, party_store, bike_shop, bakery, gym, pizzeria, florist, bank, craft_shop, dentist, bookstore, tech_shop : 39723
Saved path: pet_store, bakery, salon, barber_shop, party_store, pharmacy, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store : 47222
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, bank, music_store, pharmacy, party_store, bakery, pet_store, hardware_store, toy_store : 45276
Saved path: pet_store, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop, bank, music_store, gelateria, pharmacy, party_store : 45083
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, bank, craft_shop, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store : 45046
Saved path: pet_store, party_store, music_store, bank, dentist, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery : 49624
Saved path: burger_joint, bookstore, pizzeria, bank, florist, gym, hardware_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, grocery_store, dentist : 41651
Saved path: cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, salon, bakery, barber_shop, party_store, pharmacy, gelateria, bank, pizzeria, dentist : 38210
Saved path: clothing_store, toy_store, bakery, pet_store, bike_shop, salon, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop : 46233
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, gym, burger_joint, cafe, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 37857
Saved path: gym, burger_joint, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, florist : 50921
Saved path: tech_shop, noodle_house, toy_store, gym, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, bank, craft_shop, dentist, cafe, bookstore : 38113
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, tech_shop, noodle_house, toy_store, gym, bike_shop, pet_store : 49477
Saved path: cafe, bookstore, bank, florist, gelateria, pharmacy, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, clothing_store, dentist : 47685
Saved path: pharmacy, gelateria, florist, craft_shop, dentist, cafe, bookstore, pizzeria, gym, hardware_store, toy_store, barber_shop, jewelry_store, pet_store, bakery : 50032
Saved path: bank, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, cafe, hardware_store, gym : 47041
Saved path: burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, music_store, bank, dentist, cafe, bookstore : 38171
Saved path: bike_shop, salon, pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store : 41386
Saved path: bakery, salon, jewelry_store, barber_shop, gelateria, craft_shop, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store : 45080
Saved path: bike_shop, party_store, pharmacy, music_store, bank, pizzeria, gym, hardware_store, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store : 47445
Saved path: bike_shop, bakery, barber_shop, noodle_house, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store : 38667
Saved path: salon, bike_shop, bakery, toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, party_store, jewelry_store : 37071
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, gym, florist, music_store, gelateria, pharmacy, pet_store : 46307
Saved path: salon, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, bank, pizzeria, bookstore, party_store, bakery, pet_store : 44845
Saved path: toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house : 35614
Saved path: pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint, gym, pizzeria, craft_shop, bank : 50770
Saved path: tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore : 42441
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore, bank, gym, hardware_store, party_store, salon, bike_shop, bakery, barber_shop : 34327
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, bakery, pet_store, burger_joint, noodle_house, toy_store : 42374
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, bookstore, toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store : 39466
Saved path: bike_shop, bakery, party_store, pharmacy, music_store, bank, craft_shop, gym, toy_store, tech_shop, cafe, burger_joint, hardware_store, jewelry_store, salon : 35453
Saved path: bakery, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store : 36955
Saved path: florist, bank, craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, gelateria : 41918
Saved path: florist, bank, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, pharmacy : 50063
Saved path: hardware_store, jewelry_store, bakery, pet_store, salon, music_store, gelateria, bank, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store : 49255
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, music_store, gelateria, party_store, salon : 43992
Saved path: salon, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, bookstore, cafe, dentist, craft_shop, bank, florist, pharmacy, party_store : 34263
Saved path: music_store, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, bakery, jewelry_store, pharmacy : 37483
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gym, pizzeria, florist, craft_shop, dentist, cafe, grocery_store : 35445
Saved path: party_store, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery : 49170
Saved path: salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, hardware_store : 45148
Saved path: gym, hardware_store, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, craft_shop : 46345
