Saved path: salon, bakery, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store : 36014
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, salon : 30019
Saved path: pharmacy, music_store, florist, bank, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, jewelry_store : 37301
Saved path: cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, bakery, pet_store, gelateria, music_store, florist, craft_shop, bookstore : 44652
Saved path: noodle_house, toy_store, clothing_store, dentist, craft_shop, bank, florist, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, burger_joint, bookstore : 36586
Saved path: burger_joint, cafe, dentist, craft_shop, bank, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 34964
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, gym, hardware_store : 41997
Saved path: gelateria, pharmacy, jewelry_store, salon, bike_shop, bakery, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria, bank, florist, music_store : 38902
Saved path: grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, burger_joint : 37322
Saved path: bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, music_store, pizzeria : 34845
Saved path: bookstore, gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist : 41857
Saved path: hardware_store, toy_store, noodle_house, burger_joint, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, barber_shop, jewelry_store, salon, bakery, pet_store : 44268
Saved path: toy_store, noodle_house, burger_joint, bookstore, dentist, craft_shop, bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, gym : 49691
Saved path: florist, bank, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, gelateria, music_store : 51367
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, gym, pizzeria, craft_shop : 43897
Saved path: florist, bank, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, hardware_store, bike_shop, bakery, party_store, pharmacy : 32698
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, salon, bike_shop, bakery : 32336
Saved path: toy_store, noodle_house, tech_shop, burger_joint, dentist, pizzeria, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym : 48438
Saved path: bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, florist, pharmacy, party_store, salon, bike_shop : 36132
Saved path: music_store, bank, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 47064
Saved path: cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, hardware_store, toy_store, clothing_store, dentist : 37026
Saved path: barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, noodle_house, toy_store : 46184
Saved path: pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, gym, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, music_store, bank : 40832
Saved path: noodle_house, toy_store, barber_shop, pet_store, bakery, salon, hardware_store, burger_joint, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop : 40501
Saved path: burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, florist, bank, craft_shop, dentist, bookstore : 39881
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, bakery : 38215
Saved path: craft_shop, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria : 51152
Saved path: dentist, craft_shop, pizzeria, bank, gelateria, music_store, salon, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe : 45786
Saved path: party_store, pharmacy, music_store, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 44292
Saved path: barber_shop, bakery, bike_shop, party_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 39769
Saved path: music_store, gelateria, pharmacy, party_store, barber_shop, jewelry_store, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, craft_shop, florist : 46196
Saved path: gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, gym, bakery, pet_store, jewelry_store, party_store : 46414
Saved path: pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, gelateria : 44912
Saved path: jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, bank, gym, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop : 49074
