Saved path: salon, bike_shop, bakery, gym, burger_joint, toy_store, clothing_store, dentist, pizzeria, bank, florist, music_store, pharmacy, party_store, jewelry_store : 40918
Saved path: toy_store, clothing_store, cafe, bookstore, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, hardware_store, gym : 34110
Saved path: pharmacy, party_store, salon, bakery, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist : 34019
Saved path: pet_store, bakery, salon, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store : 43920
Saved path: pharmacy, gelateria, music_store, florist, bank, gym, hardware_store, noodle_house, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pet_store : 46592
Saved path: jewelry_store, salon, bike_shop, bakery, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, gym, bank, music_store, gelateria, pharmacy : 36719
Saved path: party_store, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, salon : 38002
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, dentist, burger_joint, toy_store : 49591
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, jewelry_store, party_store, gelateria, music_store, florist, pizzeria : 42420
Saved path: toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house : 43073
Saved path: grocery_store, cafe, burger_joint, gym, craft_shop, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 34457
Saved path: burger_joint, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, gym, hardware_store : 37293
Saved path: toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, pharmacy, music_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop : 52182
Saved path: craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, pharmacy, music_store, bank : 48241
Saved path: toy_store, gym, hardware_store, salon, bike_shop, bakery, music_store, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop : 39939
Saved path: burger_joint, pizzeria, bank, florist, gelateria, pharmacy, party_store, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop : 34089
Saved path: bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pet_store : 46143
Saved path: gelateria, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, music_store : 51319
Saved path: barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, dentist, craft_shop, gym, hardware_store, party_store, pharmacy, salon, bakery : 39500
Saved path: bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, florist, music_store, party_store : 35054
Saved path: salon, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, gym, craft_shop, florist, music_store, party_store, bakery, pet_store, bike_shop : 43620
