Saved path: gym, craft_shop, florist, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 32437
Saved path: salon, barber_shop, party_store, gelateria, music_store, bank, craft_shop, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store, pet_store, bakery : 45491
Saved path: grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, dentist : 44574
Saved path: pizzeria, craft_shop, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore : 44306
Saved path: craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist : 44214
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, pharmacy, party_store : 37120
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, gym, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store : 42176
Saved path: noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, gelateria, pharmacy, party_store, jewelry_store, hardware_store, gym, burger_joint : 37045
Saved path: cafe, burger_joint, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, clothing_store : 43410
Saved path: jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store : 35747
Saved path: dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, craft_shop : 46669
Saved path: grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, gelateria, music_store, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 33928
Saved path: toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, gym, bakery, pet_store, bike_shop, salon, party_store, hardware_store : 42303
Saved path: hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store : 34333
Saved path: hardware_store, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, bakery, barber_shop, jewelry_store : 37704
Saved path: salon, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, bank, gelateria, music_store, pharmacy, party_store, jewelry_store : 36005
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, hardware_store : 41959
Saved path: jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist, florist, party_store, salon, bike_shop, pet_store, bakery : 48250
Saved path: hardware_store, toy_store, noodle_house, burger_joint, bookstore, pizzeria, bank, florist, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store : 39261
Saved path: grocery_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe : 44535
Saved path: pizzeria, bank, florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist : 36686
Saved path: hardware_store, gym, pizzeria, florist, bank, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, jewelry_store : 45056
Saved path: bakery, bike_shop, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, barber_shop : 40812
Saved path: pet_store, bakery, salon, party_store, pharmacy, music_store, bank, craft_shop, gym, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop : 46647
