Saved path: party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, barber_shop, bakery : 39489
Saved path: pet_store, bike_shop, salon, party_store, hardware_store, gym, bank, craft_shop, dentist, grocery_store, cafe, burger_joint, toy_store, barber_shop, bakery : 46991
Saved path: gelateria, music_store, pharmacy, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery : 47165
Saved path: tech_shop, cafe, bookstore, craft_shop, bank, florist, music_store, gelateria, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, clothing_store : 44213
Saved path: clothing_store, toy_store, gym, hardware_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, burger_joint, noodle_house, tech_shop : 32474
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, pharmacy, jewelry_store, bakery, pet_store : 44782
Saved path: pizzeria, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore : 49464
Saved path: bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, tech_shop, clothing_store, toy_store, hardware_store, pet_store : 45998
Saved path: cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, music_store, craft_shop, pizzeria : 46598
Saved path: cafe, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop : 42356
