Saved path: jewelry_store, salon, toy_store, noodle_house, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, florist, bank, gelateria, bakery, bike_shop : 66906
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, party_store, pharmacy, bank, music_store, florist : 58488
Saved path: party_store, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy : 66106
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pet_store : 56549
Saved path: pizzeria, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, bakery, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store : 57716
Saved path: tech_shop, grocery_store, clothing_store, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, gelateria, music_store, florist, dentist : 61444
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, gym, florist, music_store, bank, pet_store, pizzeria : 61293
Saved path: music_store, pharmacy, bakery, jewelry_store, salon, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, gelateria : 58693
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, bank : 68126
Saved path: burger_joint, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon, hardware_store : 71494
Saved path: florist, pet_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank : 63698
