Saved path: bank, pet_store, craft_shop, pizzeria, grocery_store, cafe, burger_joint, barber_shop, bakery, party_store, jewelry_store, bike_shop, gym, florist, gelateria : 70455
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist : 67153
Saved path: gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, jewelry_store : 57803
Saved path: gym, bookstore, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, craft_shop : 59912
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, bank, music_store, florist : 67139
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 68816
Saved path: party_store, bakery, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy : 54720
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy : 61174
Saved path: bakery, party_store, pharmacy, bank, pet_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 62478
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, gelateria, bank, pharmacy, party_store, bakery, toy_store : 56653
Saved path: music_store, florist, pet_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy : 54996
Saved path: party_store, bike_shop, bakery, gym, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, noodle_house, salon, jewelry_store : 54996
Saved path: hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, burger_joint : 52239
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, music_store, gelateria, gym, hardware_store : 60682
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, burger_joint, hardware_store : 59993
Saved path: noodle_house, clothing_store, grocery_store, bookstore, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon : 61864
