Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, bookstore, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, florist : 41256
Saved path: jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop : 43316
Saved path: party_store, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, barber_shop, bakery, pet_store : 52095
Saved path: pharmacy, party_store, salon, bike_shop, bakery, hardware_store, burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, gym, music_store, gelateria : 40745
Saved path: toy_store, noodle_house, tech_shop, grocery_store, burger_joint, bookstore, craft_shop, bank, florist, music_store, pharmacy, salon, bike_shop, bakery, barber_shop : 36566
Saved path: pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, gym, craft_shop, gelateria : 43294
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, hardware_store, gym, pizzeria, florist, music_store, party_store, bakery : 44277
Saved path: craft_shop, florist, music_store, barber_shop, bakery, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria : 41292
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, craft_shop, florist, music_store, gelateria, party_store, salon, bakery : 36908
Saved path: pet_store, bakery, jewelry_store, gym, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, party_store, salon, bike_shop : 47768
Saved path: party_store, gelateria, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon : 44879
Saved path: dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop : 37110
Saved path: cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, party_store, hardware_store, burger_joint : 47429
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, tech_shop, grocery_store, toy_store, gym, pizzeria, craft_shop, florist, music_store : 37896
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, salon : 37961
Saved path: hardware_store, gym, craft_shop, florist, music_store, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, burger_joint : 48257
Saved path: bike_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, pizzeria, craft_shop, gelateria, pharmacy, bakery, pet_store : 42178
Saved path: music_store, gelateria, bank, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store : 45833
Saved path: pharmacy, gelateria, florist, bank, craft_shop, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 34941
Saved path: jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, party_store, bakery, pet_store, bike_shop : 42216
Saved path: barber_shop, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, cafe, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery : 43816
Saved path: craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, music_store, florist, bank : 46517
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, music_store, florist, bank, craft_shop : 36061
Saved path: craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, gym : 42775
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, hardware_store, bookstore, pizzeria, craft_shop : 45079
Saved path: dentist, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 48274
