Saved path: hardware_store, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, bank, craft_shop, gym : 45738
Saved path: gelateria, florist, bank, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store : 38237
Saved path: pizzeria, craft_shop, bank, gelateria, music_store, bakery, pet_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore : 48409
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, party_store, gelateria, music_store, bank, craft_shop, bookstore, clothing_store : 46197
Saved path: pet_store, bike_shop, party_store, gelateria, music_store, florist, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery : 42986
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, gym, pizzeria, florist, gelateria, pharmacy, party_store : 42512
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, hardware_store : 30975
Saved path: toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, party_store, gelateria, music_store, pizzeria, gym, burger_joint, dentist, grocery_store, noodle_house : 52180
Saved path: dentist, grocery_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, bank, pizzeria, bookstore, cafe : 39520
Saved path: jewelry_store, bakery, bike_shop, pharmacy, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 36685
Saved path: toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bike_shop, pet_store, pharmacy, gelateria, music_store, bookstore, cafe, dentist, grocery_store, clothing_store : 50270
Saved path: toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house : 39043
Saved path: pet_store, bakery, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, music_store, barber_shop : 50608
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery : 35091
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, bakery, pet_store, bike_shop : 41663
Saved path: craft_shop, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist : 36892
Saved path: party_store, pharmacy, gelateria, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, jewelry_store, salon, bike_shop : 40219
Saved path: bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, florist, music_store, pharmacy, party_store, bike_shop, jewelry_store, hardware_store, burger_joint : 40691
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, hardware_store, bike_shop, bakery, music_store, florist, bank, pizzeria, gym : 35086
Saved path: bank, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, music_store : 39972
Saved path: bakery, bike_shop, salon, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 30199
Saved path: toy_store, gym, hardware_store, jewelry_store, salon, bakery, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, tech_shop, clothing_store : 35540
Saved path: florist, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria, music_store : 46850
Saved path: bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, hardware_store, pharmacy, gelateria, music_store : 46430
