Saved path: music_store, gelateria, pharmacy, bakery, salon, hardware_store, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, florist : 35747
Saved path: bank, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, pharmacy, gelateria, music_store : 38268
Saved path: salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, gym, florist, music_store, party_store : 41399
Saved path: clothing_store, tech_shop, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, pharmacy, party_store, salon, hardware_store, gym, toy_store : 34975
Saved path: pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, hardware_store, gym, pizzeria, gelateria : 45416
Saved path: florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, pizzeria, craft_shop : 36611
Saved path: bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore, dentist, craft_shop, gym, florist, pharmacy, party_store : 49628
Saved path: cafe, bookstore, craft_shop, bank, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store : 34776
Saved path: noodle_house, toy_store, barber_shop, party_store, pet_store, bakery, gym, florist, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, tech_shop : 49409
Saved path: grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, pizzeria, gym, hardware_store, burger_joint, cafe : 40336
Saved path: bike_shop, bakery, gym, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, music_store, party_store, jewelry_store, salon : 41260
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 36418
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, florist, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym : 49101
Saved path: florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, bank : 42212
Saved path: burger_joint, dentist, craft_shop, pizzeria, bank, florist, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house : 47791
Saved path: gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, toy_store, gym, bakery, pet_store, jewelry_store, party_store : 43159
Saved path: hardware_store, toy_store, noodle_house, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store : 47187
Saved path: toy_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop : 42751
Saved path: noodle_house, burger_joint, bookstore, dentist, craft_shop, florist, music_store, gelateria, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store : 51443
Saved path: party_store, pharmacy, music_store, bank, craft_shop, dentist, cafe, burger_joint, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 46192
Saved path: bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, gelateria, music_store, pharmacy, party_store : 38425
Saved path: toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, florist, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym : 41201
Saved path: salon, party_store, pharmacy, florist, bank, craft_shop, gym, toy_store, clothing_store, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 42707
