Saved path: gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, jewelry_store, salon, pet_store : 45962
Saved path: pet_store, bike_shop, salon, pharmacy, music_store, florist, bank, craft_shop, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, bakery : 42309
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store, gym : 47521
Saved path: pet_store, bike_shop, hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 42505
Saved path: pet_store, bakery, barber_shop, party_store, pharmacy, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 43794
Saved path: bank, craft_shop, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, music_store, gelateria : 48835
Saved path: dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint : 45922
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, hardware_store, craft_shop, bank, florist, pizzeria, bookstore, cafe, grocery_store : 32103
Saved path: hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 42624
Saved path: pizzeria, bank, florist, music_store, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore : 31480
