Saved path: music_store, gelateria, florist, pet_store, pizzeria, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store : 57935
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, craft_shop, dentist, cafe, grocery_store, toy_store, burger_joint : 60948
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, bookstore, gym, bike_shop, jewelry_store, bakery, pharmacy, pet_store, craft_shop, pizzeria : 55622
Saved path: burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house : 69350
Saved path: cafe, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, gym : 63684
Saved path: jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, bakery : 67407
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, bank, music_store, bike_shop, jewelry_store, party_store, burger_joint : 66201
Saved path: jewelry_store, hardware_store, salon, noodle_house, grocery_store, dentist, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 66440
Saved path: gym, florist, gelateria, bank, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store : 68976
Saved path: dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe : 63335
Saved path: burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bike_shop, party_store, hardware_store, salon, noodle_house : 57868
Saved path: toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, florist, music_store, bank, pharmacy, bike_shop, barber_shop : 59997
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, gym, craft_shop, florist, gelateria, bank, bakery, bike_shop, jewelry_store, barber_shop, salon : 61402
Saved path: pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, gym, hardware_store, salon, barber_shop, jewelry_store, bakery : 67838
Saved path: noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, party_store, bakery, pharmacy, bank, gelateria, barber_shop, toy_store : 61199
