Saved path: bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 64182
Saved path: bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop : 56398
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, gym, pet_store, florist, music_store : 65161
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, dentist, pizzeria, pet_store, gelateria, florist, bookstore, burger_joint, hardware_store : 63624
Saved path: pharmacy, gelateria, music_store, florist, pet_store, pizzeria, gym, hardware_store, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, party_store : 62096
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 54337
Saved path: florist, gelateria, bank, pet_store, gym, hardware_store, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, tech_shop, cafe, bookstore : 65316
Saved path: bookstore, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, florist, bank, pharmacy, bakery, bike_shop, gym : 63196
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, pet_store, music_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon : 55762
Saved path: craft_shop, gym, bookstore, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store : 57534
Saved path: gelateria, pet_store, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bakery, bike_shop, music_store, bank : 57666
Saved path: bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, bike_shop, gelateria, music_store, florist, pet_store, craft_shop, dentist : 57276
Saved path: music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, tech_shop, pet_store, florist : 65559
