Saved path: grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store : 53419
Saved path: bank, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, florist, music_store : 63553
Saved path: pet_store, gelateria, bank, music_store, bike_shop, bakery, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, pizzeria : 60400
Saved path: dentist, pizzeria, craft_shop, florist, music_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, burger_joint, bookstore : 57325
Saved path: burger_joint, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym : 67132
Saved path: pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, florist : 55273
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym : 64671
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist : 64497
Saved path: dentist, pizzeria, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 68856
Saved path: music_store, florist, craft_shop, gym, burger_joint, bookstore, tech_shop, grocery_store, salon, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 59939
Saved path: bike_shop, jewelry_store, salon, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store, gym : 70615
