Saved path: grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house : 49521
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, dentist, grocery_store, clothing_store, salon, toy_store, burger_joint, gym, hardware_store : 62829
Saved path: salon, toy_store, hardware_store, jewelry_store, bakery, pharmacy, bank, florist, craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 57881
Saved path: grocery_store, clothing_store, noodle_house, salon, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop : 52529
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, salon, barber_shop : 71829
Saved path: salon, noodle_house, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop : 61632
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, bookstore, hardware_store, gym, craft_shop, florist, gelateria, jewelry_store, party_store : 53500
Saved path: music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, florist, bank : 59993
Saved path: bank, music_store, florist, pet_store, dentist, tech_shop, grocery_store, noodle_house, bookstore, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria : 60721
Saved path: pizzeria, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, party_store, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, tech_shop : 69689
Saved path: hardware_store, gym, pet_store, florist, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery : 59235
Saved path: party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy : 60804
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, bookstore, gym, hardware_store, party_store, jewelry_store, pharmacy, music_store, florist : 54432
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 58698
Saved path: cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, bike_shop, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore : 64568
