Saved path: craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, tech_shop, burger_joint, hardware_store : 63971
Saved path: bike_shop, bakery, pharmacy, music_store, gelateria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, hardware_store : 50840
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym, burger_joint, bookstore, tech_shop, pizzeria, florist, gelateria, music_store, bakery : 62875
Saved path: bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, pizzeria, dentist : 68160
Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop : 54879
Saved path: pet_store, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, gelateria : 59944
Saved path: hardware_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, florist, gym : 69076
Saved path: florist, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, music_store : 55669
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, party_store, bakery, gelateria, bank, florist : 63508
Saved path: bank, music_store, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, gym, pet_store, florist, gelateria : 66102
Saved path: burger_joint, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store, pizzeria, tech_shop, grocery_store, cafe, bookstore : 57026
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon : 64353
Saved path: craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, gym, burger_joint, bookstore, toy_store, salon, grocery_store, tech_shop, pizzeria : 64842
Saved path: bookstore, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop : 63149
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank : 63415
Saved path: cafe, clothing_store, toy_store, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist : 59110
Saved path: clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, cafe, grocery_store : 60336
Saved path: noodle_house, clothing_store, tech_shop, burger_joint, hardware_store, gym, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 63935
Saved path: pet_store, florist, gelateria, pharmacy, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop : 46504
Saved path: toy_store, noodle_house, clothing_store, tech_shop, burger_joint, gym, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 62870
Saved path: jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, craft_shop, gelateria, pharmacy, bike_shop : 51625
Saved path: bakery, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, gym, pizzeria, cafe, bookstore, clothing_store, toy_store, barber_shop : 67189
Saved path: music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, gym, hardware_store, salon, barber_shop, jewelry_store, pharmacy : 70261
