Saved path: gelateria, craft_shop, pizzeria, tech_shop, cafe, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank : 61569
Saved path: clothing_store, noodle_house, toy_store, barber_shop, music_store, bank, bakery, jewelry_store, party_store, hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store : 69964
Saved path: bakery, pharmacy, gelateria, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store : 60534
Saved path: noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, jewelry_store, bike_shop, gym, toy_store, salon : 59727
Saved path: toy_store, burger_joint, hardware_store, bike_shop, bakery, pharmacy, music_store, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon : 52705
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, barber_shop, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store : 44302
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, jewelry_store, barber_shop, pharmacy, bank : 70353
Saved path: noodle_house, toy_store, hardware_store, burger_joint, cafe, tech_shop, dentist, craft_shop, florist, music_store, bank, gelateria, party_store, bike_shop, barber_shop : 62946
Saved path: bike_shop, party_store, bakery, bank, music_store, florist, gym, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, barber_shop : 66045
Saved path: hardware_store, gym, pet_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 57128
Saved path: music_store, florist, pet_store, craft_shop, hardware_store, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, bike_shop, gelateria, bank : 62020
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store : 56848
Saved path: gelateria, bakery, bike_shop, party_store, hardware_store, salon, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 65556
Saved path: pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery : 56375
Saved path: hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store : 63612
Saved path: gym, craft_shop, florist, bank, music_store, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store : 63909
Saved path: pet_store, craft_shop, pizzeria, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 61123
Saved path: tech_shop, grocery_store, toy_store, salon, party_store, bike_shop, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria : 67295
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, clothing_store, tech_shop, bookstore, dentist, craft_shop, pet_store, florist, music_store : 59313
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop : 56008
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, florist : 59555
