Saved path: cafe, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, noodle_house, grocery_store : 64502
Saved path: barber_shop, salon, noodle_house, grocery_store, dentist, cafe, bookstore, gym, craft_shop, pet_store, florist, pharmacy, party_store, jewelry_store, bike_shop : 59947
Saved path: salon, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, florist, music_store, bank, pharmacy, jewelry_store, bakery, gym, toy_store : 65619
Saved path: gym, florist, bank, gelateria, bike_shop, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria : 65604
Saved path: pizzeria, dentist, bookstore, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, gelateria, pet_store : 60582
Saved path: bank, pet_store, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, barber_shop, bakery, party_store, bike_shop, music_store : 67851
Saved path: craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store : 63587
Saved path: cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, craft_shop, dentist, clothing_store, tech_shop : 59619
Saved path: pharmacy, party_store, bakery, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, pet_store, florist, gelateria, bank : 63487
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, music_store, bank, pharmacy, bakery, party_store, bike_shop, burger_joint, toy_store, salon : 60129
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, jewelry_store, party_store, bakery, gym, toy_store, noodle_house, grocery_store : 64664
Saved path: dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, bike_shop, party_store, toy_store, salon, noodle_house, grocery_store, tech_shop, pizzeria : 68298
Saved path: florist, bank, music_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gym : 60082
Saved path: tech_shop, cafe, bookstore, burger_joint, toy_store, gym, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist : 64955
Saved path: music_store, jewelry_store, bike_shop, bakery, hardware_store, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, bank : 64940
Saved path: party_store, bike_shop, hardware_store, salon, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, bank, music_store, pharmacy : 62820
Saved path: jewelry_store, bakery, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, salon, barber_shop : 61930
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 43299
Saved path: gelateria, florist, pizzeria, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank : 65551
Saved path: bike_shop, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, pet_store, gelateria : 64668
Saved path: pizzeria, dentist, cafe, tech_shop, toy_store, salon, hardware_store, gym, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 58456
Saved path: music_store, bike_shop, party_store, bakery, barber_shop, salon, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 58225
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, clothing_store, toy_store, hardware_store, burger_joint : 61582
