Saved path: bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, gelateria, bank, pharmacy : 59371
Saved path: gelateria, pet_store, craft_shop, pizzeria, clothing_store, cafe, burger_joint, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank : 66273
Saved path: florist, music_store, bank, gelateria, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pet_store : 70107
Saved path: pizzeria, dentist, tech_shop, bookstore, burger_joint, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, craft_shop : 69579
Saved path: party_store, bakery, barber_shop, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist, pet_store, gym, hardware_store : 54840
Saved path: gelateria, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy : 54257
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, gym, pet_store, florist, gelateria : 60010
Saved path: florist, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, hardware_store, pharmacy, gelateria, bank : 61187
Saved path: pet_store, craft_shop, dentist, bookstore, burger_joint, clothing_store, toy_store, gym, hardware_store, bike_shop, party_store, bakery, music_store, bank, gelateria : 61240
Saved path: toy_store, bookstore, cafe, burger_joint, hardware_store, party_store, gelateria, bank, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon : 61781
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, tech_shop, burger_joint, noodle_house, salon, hardware_store : 66375
Saved path: grocery_store, noodle_house, salon, toy_store, gym, bakery, bike_shop, jewelry_store, music_store, gelateria, florist, pizzeria, dentist, bookstore, tech_shop : 61707
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, burger_joint, gym, toy_store, noodle_house, barber_shop : 56868
Saved path: craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gym, florist, pet_store : 57419
Saved path: salon, barber_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, burger_joint, hardware_store : 58723
Saved path: gym, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist : 71330
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store : 60334
Saved path: party_store, bike_shop, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, tech_shop, bookstore, burger_joint, noodle_house, toy_store, hardware_store : 60939
Saved path: noodle_house, salon, toy_store, gym, pet_store, florist, music_store, bakery, party_store, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store : 56704
Saved path: tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, cafe : 64852
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, florist, bank, pharmacy, bike_shop, party_store, hardware_store, salon, toy_store : 62604
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store, burger_joint, gym, bakery, bike_shop, jewelry_store, music_store, florist, pet_store : 60382
