Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, jewelry_store, bike_shop, gym, burger_joint : 54729
Saved path: tech_shop, pizzeria, craft_shop, florist, music_store, bike_shop, party_store, jewelry_store, barber_shop, toy_store, hardware_store, gym, bookstore, cafe, grocery_store : 62150
Saved path: noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, cafe, grocery_store : 69474
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, bike_shop, hardware_store, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop : 57166
Saved path: music_store, bank, florist, pet_store, hardware_store, bookstore, cafe, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 65652
Saved path: grocery_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bakery, music_store, bank, gelateria, florist, pet_store, dentist, burger_joint, bookstore : 66975
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, pizzeria, craft_shop : 51876
Saved path: noodle_house, barber_shop, hardware_store, bakery, party_store, jewelry_store, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, clothing_store : 70730
Saved path: jewelry_store, hardware_store, salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, florist, gelateria, bank, music_store, pharmacy : 63342
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, pizzeria, music_store, bank, gelateria : 65706
Saved path: gym, bakery, jewelry_store, party_store, burger_joint, toy_store, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist : 65263
Saved path: toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, florist, music_store, jewelry_store, party_store, barber_shop, salon : 60329
Saved path: craft_shop, pet_store, florist, gym, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, tech_shop, pizzeria : 61161
Saved path: gelateria, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank : 62648
