Saved path: pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, bank, music_store, craft_shop : 60461
Saved path: dentist, pizzeria, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, florist, craft_shop, gym, hardware_store, burger_joint, cafe : 57716
Saved path: music_store, florist, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bank : 63950
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, gelateria, music_store, florist, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store : 62576
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, party_store, jewelry_store : 55818
Saved path: cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, clothing_store, tech_shop, dentist : 69029
Saved path: gym, hardware_store, burger_joint, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, gelateria, bank, pet_store : 67935
Saved path: pizzeria, craft_shop, florist, bank, music_store, bike_shop, party_store, bakery, burger_joint, bookstore, toy_store, salon, noodle_house, clothing_store, tech_shop : 62574
Saved path: bike_shop, barber_shop, toy_store, tech_shop, bookstore, hardware_store, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store : 66273
Saved path: bank, music_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, gelateria : 58796
Saved path: cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, jewelry_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist : 62435
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 52379
Saved path: gelateria, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 60386
Saved path: cafe, bookstore, clothing_store, toy_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist : 68024
Saved path: bookstore, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, pet_store : 53943
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, hardware_store, barber_shop, bike_shop, party_store, pharmacy : 60261
Saved path: grocery_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, dentist, cafe, tech_shop : 47167
Saved path: gelateria, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop, florist, music_store, bank : 62135
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store : 52763
