Saved path: pharmacy, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, toy_store, salon, barber_shop, bike_shop, jewelry_store : 62073
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, burger_joint : 54794
Saved path: gym, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, cafe : 59704
Saved path: hardware_store, gym, craft_shop, florist, music_store, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint : 46529
Saved path: grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, florist, pizzeria, cafe, bookstore : 66250
Saved path: bookstore, burger_joint, gym, pizzeria, craft_shop, florist, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store : 70200
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, pet_store, florist, music_store : 62628
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist : 63535
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store : 60072
Saved path: dentist, craft_shop, gym, pet_store, florist, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, cafe : 60298
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop : 69530
Saved path: cafe, burger_joint, hardware_store, gym, florist, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, dentist : 57314
Saved path: gym, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store : 68617
Saved path: music_store, gelateria, florist, gym, craft_shop, pizzeria, cafe, bookstore, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 62067
Saved path: bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, toy_store, salon, noodle_house, grocery_store : 54579
Saved path: hardware_store, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, gym : 68975
Saved path: cafe, tech_shop, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore : 50120
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe : 53302
Saved path: toy_store, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, pet_store, gelateria, bank, music_store, jewelry_store, party_store, bakery, hardware_store : 67333
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, gym, burger_joint, dentist, pizzeria, grocery_store, toy_store, salon, barber_shop : 64956
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, gym, florist, music_store, bank, gelateria, pharmacy : 56298
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, salon, noodle_house, clothing_store, tech_shop, cafe : 51226
