Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, bookstore, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery : 58694
Saved path: salon, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, bakery, barber_shop : 52283
Saved path: noodle_house, clothing_store, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, salon : 63950
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, party_store, hardware_store, gym, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 60620
Saved path: dentist, grocery_store, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, craft_shop, pizzeria : 62831
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, hardware_store, bike_shop, barber_shop, salon : 59690
Saved path: bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store : 55983
Saved path: party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store : 55491
Saved path: grocery_store, toy_store, hardware_store, party_store, jewelry_store, gelateria, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop : 58995
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, bike_shop, hardware_store, florist, music_store, bank, pet_store, craft_shop, bookstore, tech_shop : 62605
Saved path: gym, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, jewelry_store, gelateria, bank, music_store, florist : 59709
Saved path: cafe, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, pharmacy, gelateria, pizzeria, dentist : 58932
Saved path: party_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, bank, music_store, pharmacy : 58938
Saved path: bike_shop, party_store, bakery, bank, gelateria, florist, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop : 59600
Saved path: bookstore, cafe, dentist, craft_shop, pet_store, bank, gelateria, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, gym, burger_joint : 68997
Saved path: noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, bakery, party_store, jewelry_store, gym, burger_joint, toy_store, salon : 67230
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, dentist : 62583
Saved path: barber_shop, salon, hardware_store, gym, burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, bike_shop : 63293
Saved path: toy_store, salon, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, hardware_store, gym : 68741
