Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, florist, gym, bakery : 61708
Saved path: jewelry_store, party_store, bakery, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, florist, music_store, barber_shop, bike_shop : 60432
Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, gym, burger_joint : 53616
Saved path: toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, jewelry_store, gym : 71264
Saved path: salon, hardware_store, party_store, bakery, music_store, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, toy_store : 56736
Saved path: toy_store, barber_shop, jewelry_store, bakery, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, bookstore, pizzeria, tech_shop, grocery_store, clothing_store : 60752
Saved path: pet_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, dentist, pizzeria : 72383
Saved path: pizzeria, dentist, cafe, burger_joint, noodle_house, salon, hardware_store, gym, jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop : 70198
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, music_store : 58498
Saved path: bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, pet_store : 57474
Saved path: music_store, gelateria, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, party_store, jewelry_store : 56951
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, gym, hardware_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store : 67114
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, hardware_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, pet_store, craft_shop : 67143
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, gym, hardware_store, bookstore, cafe, dentist, tech_shop : 55206
Saved path: pet_store, gelateria, music_store, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym : 55763
Saved path: cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint : 63982
