Saved path: pizzeria, dentist, cafe, bookstore, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, gym, pet_store, gelateria, music_store, florist, craft_shop : 63352
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, music_store, florist, pizzeria, dentist, burger_joint, gym, hardware_store : 61876
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, pet_store, bank, music_store : 69326
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, clothing_store, barber_shop, bike_shop : 62920
Saved path: craft_shop, dentist, tech_shop, cafe, burger_joint, toy_store, salon, barber_shop, bakery, hardware_store, gym, florist, gelateria, bank, pet_store : 57580
Saved path: gym, hardware_store, bike_shop, music_store, bank, florist, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store : 54889
Saved path: barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store : 69581
Saved path: jewelry_store, bakery, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 69551
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, salon, hardware_store, gym, bike_shop, party_store, pharmacy, music_store, bank : 69272
Saved path: toy_store, gym, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 61404
Saved path: bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, barber_shop, salon, hardware_store : 52696
Saved path: bank, music_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, gelateria : 69410
Saved path: salon, jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store : 64449
Saved path: tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store : 66945
Saved path: salon, bike_shop, party_store, pharmacy, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house : 62363
Saved path: tech_shop, grocery_store, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, cafe, pizzeria : 63764
Saved path: burger_joint, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, gym : 66227
Saved path: florist, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 67216
Saved path: pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria : 55949
