Saved path: gym, craft_shop, pet_store, florist, music_store, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, bookstore, burger_joint : 58127
Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, dentist : 59155
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, music_store, bakery, jewelry_store, hardware_store, burger_joint, toy_store : 50627
Saved path: cafe, bookstore, grocery_store, clothing_store, salon, jewelry_store, bike_shop, bakery, music_store, bank, florist, gym, craft_shop, pizzeria, tech_shop : 66940
Saved path: gym, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, florist, pet_store : 63469
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank, party_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store : 64221
Saved path: gelateria, florist, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, bank : 59154
Saved path: bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, cafe, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy : 60604
Saved path: barber_shop, salon, hardware_store, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop : 66721
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, florist, gym, hardware_store, bakery, party_store, jewelry_store, salon, noodle_house, cafe : 61209
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, gym, bookstore, noodle_house, clothing_store, grocery_store, pizzeria : 61029
Saved path: bank, music_store, bike_shop, party_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, florist : 67455
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, gelateria : 68816
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, gelateria, bank, pharmacy, party_store, jewelry_store : 67284
Saved path: gelateria, bank, music_store, florist, pet_store, pizzeria, grocery_store, cafe, bookstore, burger_joint, toy_store, salon, barber_shop, party_store, pharmacy : 65392
Saved path: craft_shop, dentist, bookstore, cafe, tech_shop, noodle_house, salon, toy_store, gym, hardware_store, party_store, jewelry_store, music_store, bank, florist : 66846
Saved path: gelateria, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, florist, music_store, bank : 58908
Saved path: jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria, party_store : 67614
