Saved path: bookstore, burger_joint, cafe, tech_shop, pizzeria, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, salon, clothing_store : 67667
Saved path: gym, burger_joint, bookstore, noodle_house, clothing_store, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, hardware_store : 59274
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 54009
Saved path: bookstore, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, bank, pet_store, craft_shop, pizzeria, tech_shop : 73298
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, jewelry_store : 56051
Saved path: grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, gelateria, hardware_store, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 68653
Saved path: bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, bank, pharmacy, jewelry_store : 63397
Saved path: bank, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store, burger_joint, bakery, party_store, jewelry_store, bike_shop, pharmacy, gelateria : 58625
Saved path: bookstore, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, jewelry_store, party_store, hardware_store, gym : 67157
Saved path: grocery_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, dentist, burger_joint, bookstore : 54010
Saved path: bank, pet_store, craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy : 60605
Saved path: hardware_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, bank, gelateria, pharmacy, jewelry_store : 69081
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store, craft_shop, bookstore, cafe : 62115
