Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pet_store, gelateria, pharmacy, bakery : 53473
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, pet_store : 58536
Saved path: clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store : 59004
Saved path: cafe, bookstore, gym, hardware_store, bakery, barber_shop, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 60840
Saved path: barber_shop, salon, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 59787
Saved path: grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, craft_shop, pizzeria, dentist, tech_shop : 60654
Saved path: pharmacy, music_store, florist, pet_store, gym, burger_joint, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store : 61851
Saved path: dentist, pizzeria, craft_shop, florist, pet_store, gym, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe : 58698
Saved path: noodle_house, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, burger_joint, clothing_store : 61219
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, gym : 68260
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, cafe : 60090
Saved path: burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy, music_store, florist, pet_store, craft_shop, dentist, tech_shop, cafe : 60051
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, hardware_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, pharmacy : 62287
Saved path: hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, bookstore, tech_shop, grocery_store, toy_store, gym : 63993
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, cafe : 54922
Saved path: florist, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, pizzeria, pet_store : 68691
Saved path: bike_shop, jewelry_store, barber_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, dentist, clothing_store, grocery_store, cafe, bookstore, hardware_store : 69021
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy : 61196
Saved path: music_store, bank, gelateria, bike_shop, party_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, florist : 59649
Saved path: pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, salon, clothing_store, grocery_store, tech_shop : 57069
Saved path: bookstore, cafe, clothing_store, salon, barber_shop, bakery, party_store, jewelry_store, gelateria, pet_store, craft_shop, pizzeria, gym, hardware_store, burger_joint : 62564
Saved path: tech_shop, bookstore, gym, craft_shop, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, toy_store, salon, noodle_house : 59444
Saved path: party_store, jewelry_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, bakery : 59539
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop : 68403
Saved path: tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, craft_shop, pizzeria, dentist : 62597
Saved path: bank, gelateria, pet_store, gym, hardware_store, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, music_store : 68576
Saved path: pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store : 69559
